fx,fy,fz
-1.336532091714904891e+04,-1.779664413616814045e+00,2.348170309707242609e-01
-1.972575615187480480e+00,-1.336138455913496909e+04,8.972357234847194718e-01
-5.703667390195334974e-01,-5.551233693227146659e-01,-7.810690637570752187e+03
1.336532091518891502e+04,-1.913001349367817738e-01,-7.857789693617505122e-01
-5.469278348860058259e-01,1.336138455924229311e+04,4.117552664695054432e-01
-4.519802259978860093e-01,-7.221555107079495883e-01,7.810690638183759802e+03
