fx,fy,fz
5.833829453808966292e+01,2.935043469063752042e+01,2.994837279031849420e+01
2.938668879108618981e+01,-5.831071635942957698e+01,5.987557883400844361e+01
5.837723209554780368e+01,-2.933917109261491873e+01,-5.987733513423005860e+01
2.942502954785658531e+01,5.841107351555443472e+01,-3.006672846572166691e+01
-5.827267739513754918e+01,-2.938426837791170243e+01,3.003827748448964741e+01
-2.936812317571660458e+01,-5.833530828525069722e+01,-3.003914827957179767e+01
-5.824420175207624339e+01,2.930917488678272775e+01,-5.984092987151106513e+01
-2.930938362887862425e+01,5.828548736512646400e+01,5.992259244933465112e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.763643769374790793e+01,0.000000000000000000e+00,8.955616065217571986e+01
8.791182502230614659e+01,0.000000000000000000e+00,8.856964778412832118e+01
8.815715245722094551e+01,0.000000000000000000e+00,8.717516609557380036e+01
8.877194196577082153e+01,0.000000000000000000e+00,8.579030379046612609e+01
8.896159203201415266e+01,0.000000000000000000e+00,8.527054219018687320e+01
8.896293449946631426e+01,0.000000000000000000e+00,8.568874158639256677e+01
8.795210577558255238e+01,0.000000000000000000e+00,8.636559673568856965e+01
8.806876496137218169e+01,0.000000000000000000e+00,8.869233432303907705e+01
8.760869582436689029e+01,0.000000000000000000e+00,8.933142396446862676e+01
8.738156857015562196e+01,-8.709674553511854356e+01,0.000000000000000000e+00
8.559504414044081955e+01,-8.520196729999165086e+01,0.000000000000000000e+00
8.265652977205429863e+01,-8.188736248988716682e+01,0.000000000000000000e+00
7.935669175863330338e+01,-7.899463245224707464e+01,0.000000000000000000e+00
7.796890314254414989e+01,-7.799562101752331955e+01,0.000000000000000000e+00
7.923245463833397650e+01,-7.937654522264357126e+01,0.000000000000000000e+00
8.207047311826821101e+01,-8.294871689578228313e+01,0.000000000000000000e+00
8.513453909701300404e+01,-8.535825435212565537e+01,0.000000000000000000e+00
8.707451724908749213e+01,-8.736388253236113144e+01,0.000000000000000000e+00
8.738010063556640716e+01,0.000000000000000000e+00,-8.940014797304930028e+01
8.769624553021218105e+01,0.000000000000000000e+00,-8.814086955166301607e+01
8.798731515887811838e+01,0.000000000000000000e+00,-8.663661759410487662e+01
8.875660729387607262e+01,0.000000000000000000e+00,-8.500765186817224617e+01
8.873489615601204150e+01,0.000000000000000000e+00,-8.526729722617390905e+01
8.847433561902586518e+01,0.000000000000000000e+00,-8.544806627710282498e+01
8.849015482621392437e+01,0.000000000000000000e+00,-8.750886934863538613e+01
8.808855588020985294e+01,0.000000000000000000e+00,-8.865513357590464238e+01
8.781076978114280962e+01,0.000000000000000000e+00,-8.953636532807192339e+01
8.731047893845835972e+01,8.711409306821478538e+01,0.000000000000000000e+00
8.558491824860423947e+01,8.504410155918770897e+01,0.000000000000000000e+00
8.271601632765633383e+01,8.193305182004520759e+01,0.000000000000000000e+00
7.972345496885158411e+01,7.884695803811725057e+01,0.000000000000000000e+00
7.811980187951036214e+01,7.797714224897870849e+01,0.000000000000000000e+00
7.907844659311892599e+01,7.950051293531274155e+01,0.000000000000000000e+00
8.193708955999426280e+01,8.306471608006044960e+01,0.000000000000000000e+00
8.505602347912605410e+01,8.594012111693575662e+01,0.000000000000000000e+00
8.689944152040652625e+01,8.732328443705777943e+01,0.000000000000000000e+00
0.000000000000000000e+00,-8.750646248917730929e+01,8.926757670581048387e+01
0.000000000000000000e+00,-8.753088162033871811e+01,8.827323218865414844e+01
0.000000000000000000e+00,-8.809376993401070877e+01,8.649673152396907483e+01
0.000000000000000000e+00,-8.863390152303672664e+01,8.540217441853199887e+01
0.000000000000000000e+00,-8.863467613393920885e+01,8.525773815237506881e+01
0.000000000000000000e+00,-8.872588215699275338e+01,8.559347004607711540e+01
0.000000000000000000e+00,-8.832078657889840656e+01,8.768812048637626333e+01
0.000000000000000000e+00,-8.812094340381564450e+01,8.865198141468908943e+01
0.000000000000000000e+00,-8.762121366565378366e+01,8.947110574178323361e+01
-8.680808018628539457e+01,-8.724932052961958107e+01,0.000000000000000000e+00
-8.479330444142260603e+01,-8.600488251580347310e+01,0.000000000000000000e+00
-8.166903321975622987e+01,-8.193151696888465096e+01,0.000000000000000000e+00
-7.954011077980524647e+01,-7.984135054657903652e+01,0.000000000000000000e+00
-7.793185575741179605e+01,-7.789699633812173829e+01,0.000000000000000000e+00
-7.956869508837222327e+01,-7.923779954464629327e+01,0.000000000000000000e+00
-8.229738584139819579e+01,-8.217982153659660582e+01,0.000000000000000000e+00
-8.566443808575141361e+01,-8.464515221760495933e+01,0.000000000000000000e+00
-8.725088132670909147e+01,-8.678256612529017389e+01,0.000000000000000000e+00
0.000000000000000000e+00,-8.746001456190506929e+01,-8.966431679893307205e+01
0.000000000000000000e+00,-8.765870040256818641e+01,-8.863507196574079217e+01
0.000000000000000000e+00,-8.797969521616424515e+01,-8.723195808561440856e+01
0.000000000000000000e+00,-8.835311163508410459e+01,-8.571248496436571429e+01
0.000000000000000000e+00,-8.853357417183941891e+01,-8.495343234724455783e+01
0.000000000000000000e+00,-8.854094277740712471e+01,-8.529403503662614128e+01
0.000000000000000000e+00,-8.827532308814450346e+01,-8.668937037260472778e+01
0.000000000000000000e+00,-8.809521451880853249e+01,-8.833314987454298262e+01
0.000000000000000000e+00,-8.761329818441298301e+01,-8.936833805880269210e+01
0.000000000000000000e+00,8.756898298781777612e+01,-8.925374863538169734e+01
0.000000000000000000e+00,8.785603213935557676e+01,-8.834960303161784623e+01
0.000000000000000000e+00,8.829879724955789300e+01,-8.660225870076531862e+01
0.000000000000000000e+00,8.883304989369572979e+01,-8.548803590387058193e+01
0.000000000000000000e+00,8.913165563900892607e+01,-8.476531841314636040e+01
0.000000000000000000e+00,8.876802957308123609e+01,-8.590323908307455270e+01
0.000000000000000000e+00,8.827291389122810017e+01,-8.730508858258394866e+01
0.000000000000000000e+00,8.797571834366451071e+01,-8.874281387073624217e+01
0.000000000000000000e+00,8.764876673456835476e+01,-8.966548848413935957e+01
-8.766398022334944073e+01,0.000000000000000000e+00,-8.944082917075262174e+01
-8.797915045954502489e+01,0.000000000000000000e+00,-8.864033599016498499e+01
-8.828772570826815524e+01,0.000000000000000000e+00,-8.714657072885839284e+01
-8.851206888818614971e+01,0.000000000000000000e+00,-8.579846220963266035e+01
-8.856780036902928543e+01,0.000000000000000000e+00,-8.509816118600497248e+01
-8.834742997525651731e+01,0.000000000000000000e+00,-8.536522874808352412e+01
-8.793855068498024252e+01,0.000000000000000000e+00,-8.665667470800963201e+01
-8.772853215003529215e+01,0.000000000000000000e+00,-8.806735357870971370e+01
-8.731319099341924073e+01,0.000000000000000000e+00,-8.943289697279890049e+01
0.000000000000000000e+00,8.745181967839286585e+01,8.963202030243408558e+01
0.000000000000000000e+00,8.776716930827299734e+01,8.815678781833955213e+01
0.000000000000000000e+00,8.779742394020297525e+01,8.661970851998088960e+01
0.000000000000000000e+00,8.819382931139611514e+01,8.543664392599478674e+01
0.000000000000000000e+00,8.848539461463181510e+01,8.492295242385166887e+01
0.000000000000000000e+00,8.885593999428323286e+01,8.582922426539701632e+01
0.000000000000000000e+00,8.846381977992844270e+01,8.719898040280453699e+01
0.000000000000000000e+00,8.792027135585057351e+01,8.831180197905634088e+01
0.000000000000000000e+00,8.770090512791793458e+01,8.948481696882663528e+01
-8.692058506593555478e+01,8.724736232942559866e+01,0.000000000000000000e+00
-8.489602093001094829e+01,8.544837908554011108e+01,0.000000000000000000e+00
-8.150187156781167630e+01,8.256549295947209544e+01,0.000000000000000000e+00
-7.888530363640684584e+01,7.977154987122639795e+01,0.000000000000000000e+00
-7.782912414261629408e+01,7.788416167155536129e+01,0.000000000000000000e+00
-7.941793590845776407e+01,7.901145003680828438e+01,0.000000000000000000e+00
-8.244122281967597132e+01,8.193427417466965323e+01,0.000000000000000000e+00
-8.554578929229546702e+01,8.503407877444243468e+01,0.000000000000000000e+00
-8.722847722112426538e+01,8.699006604488310757e+01,0.000000000000000000e+00
-8.757781871030707066e+01,0.000000000000000000e+00,8.932404265761283568e+01
-8.775821603868870113e+01,0.000000000000000000e+00,8.826459999411254387e+01
-8.810286815043789943e+01,0.000000000000000000e+00,8.669538468565738754e+01
-8.843385780478823222e+01,0.000000000000000000e+00,8.536859795827710684e+01
-8.867161801093563156e+01,0.000000000000000000e+00,8.526783362453471682e+01
-8.821134782111138861e+01,0.000000000000000000e+00,8.600060662201491368e+01
-8.819964749852195496e+01,0.000000000000000000e+00,8.727200356982132234e+01
-8.775628437533333681e+01,0.000000000000000000e+00,8.837749329657397368e+01
-8.747824775280508902e+01,0.000000000000000000e+00,8.971164392870647930e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.739438310413490285e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.735767063480410570e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.734705192236401388e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.746077349671717798e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.737754168369470449e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.755048865950502091e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.748239749821286466e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.739201808366621265e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.741329834346653627e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.699876479765609361e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.676004465499642606e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.689890106465205122e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.623984155441108612e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.589693610910015309e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.614386796137110878e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.687724392241379689e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.682056744460760171e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.699092298011638889e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.634373939064442141e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.561280803968932673e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.426063058931728449e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.405951237905742630e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.410637583009520597e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.387255306602522467e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.501267641218027791e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.566707087777555500e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.627960927138412330e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.555311962982923433e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.425492135085445398e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.299600946656699705e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.165576095837479755e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.092513769973274407e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.160101844527684989e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.270919994451027151e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.449780084860903173e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.551636341404438895e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.521724042759315694e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.371594986352466208e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.201186198666799356e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.022842996313433588e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.455027744137184698e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.040497141978760425e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.208025567916715914e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.388399593088371944e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.530052654016170095e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.555012298660407737e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.449949338163023924e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.295222061713737673e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.123470274465715733e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.096360284223648307e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.117902804630872140e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.273027015327781868e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.436193929634666233e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.544227327596570660e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.627753720787865461e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.560817281463728250e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.498954020466256338e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.446878335933137123e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.367718349729787803e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.428809801655219474e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.500388394288851543e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.567086685380375002e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.623390567804596571e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.697965179957273563e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.686638228694076815e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.647515230830587143e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.626299382460340723e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.628350322762328233e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.614873975910415709e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.645020750689806732e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.667435857546468014e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.691249090204131562e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.741051058752719598e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.744603496945156280e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.746209083906910280e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.748598150387707335e+02,0.000000000000000000e+00,0.000000000000000000e+00
