sxx,syy,szz,sxy,sxz,syz,smises
-3.205396291188846170e-01,-7.484109786936115061e-01,-6.729888508917342138e-01,-7.061662814250545261e-02,1.204390824019062334e-01,-2.463952674658646813e-02,4.656066894531250000e-01
-2.773991029680776821e-01,-7.033605224874743822e-01,-7.557840673540496823e-01,-1.105720253992639561e-02,6.814405287384560361e-02,5.853332614007256650e-03,4.700235724449157715e-01
-3.821430330272013176e-01,-6.928811656804660934e-01,-6.892537374053386845e-01,-5.078391782984647412e-03,7.509592389264468926e-02,2.145784784970266711e-03,3.353409469127655029e-01
-2.679373134298105308e-01,-8.091885542285310873e-01,-7.306813313701174817e-01,-6.774761461600607715e-02,1.040580042546539741e-01,5.477892045624942197e-02,5.584619641304016113e-01
-4.095838336575559069e-01,-7.053647521227445205e-01,-6.201190024493119513e-01,-2.467292302584606772e-02,2.121314952869818027e-01,-3.710404075238633165e-02,4.587971568107604980e-01
-3.621268445468884822e-01,-8.269275028921788673e-01,-6.143883728569845548e-01,-8.323483429883348980e-03,2.157769370870865622e-01,-8.520516206225510480e-02,5.692898035049438477e-01
-6.286189317267159016e-01,-5.547175036720607411e-01,-5.925652739489526422e-01,3.552934890369799370e-02,2.645944557588705490e-02,4.555330462224293359e-02,1.273165047168731689e-01
-6.211914641388470715e-01,-5.510735178232818443e-01,-5.883508572515724344e-01,2.515009823642370967e-02,1.460529788680235350e-02,5.470225317716562868e-02,1.233160644769668579e-01
-6.324532280184130828e-01,-5.422401927659008525e-01,-5.975987678997802810e-01,7.750957356597185967e-03,5.894047482649602057e-03,2.175346689503663417e-02,8.895498514175415039e-02
-6.445786301415773467e-01,-5.523638037158512537e-01,-5.641972892658569938e-01,1.270416981297974035e-02,4.228214274037662458e-03,3.959118048816160501e-02,1.131043285131454468e-01
-6.303832481288593748e-01,-5.546778296690126897e-01,-5.698175176232364025e-01,9.308019630176469009e-03,6.831629969394226003e-03,3.684473982662807290e-02,9.636856615543365479e-02
-6.201137093631032826e-01,-5.706571916324054694e-01,-5.684737648146757083e-01,1.440031555352356586e-02,6.102620920607749327e-03,2.030358508339461313e-02,6.729961931705474854e-02
-6.223855143263335998e-01,-5.492957534221588611e-01,-5.771516882866891685e-01,5.571093804103563300e-03,9.386998478878329916e-03,1.663566246065027038e-02,7.259322702884674072e-02
-5.853153594457700670e-01,-5.540906997646920518e-01,-6.101674678131756568e-01,-2.911516424402961836e-02,-1.883749081198011696e-02,2.172319786030285291e-02,8.597632497549057007e-02
-5.783411487586912481e-01,-6.287727252583036330e-01,-5.621397218419553754e-01,-3.584274790968035567e-03,1.678116960419906434e-02,-4.249082070912592259e-04,6.713269650936126709e-02
-5.809309287988743131e-01,-5.762165766795450672e-01,-5.810959783643863119e-01,-4.989264530511327428e-02,-4.243229003942132482e-02,4.968631265619450482e-02,1.424729675054550171e-01
-5.983514666530450610e-01,-5.469868509694235659e-01,-5.986422758408181943e-01,-4.132501136073266773e-02,-2.973277895419087352e-02,3.936411893775935283e-02,1.227897852659225464e-01
-5.688777617957713195e-01,-5.895491555227901914e-01,-5.906316782728904258e-01,-4.755794131872180530e-02,-4.503946497526622322e-02,3.364862428556904261e-02,1.292999535799026489e-01
-5.832611993819902807e-01,-5.569360356320192107e-01,-6.078704840908887297e-01,-2.971439606084392074e-02,-2.155516021638376536e-02,2.306103054506437530e-02,8.708971738815307617e-02
-6.105609126149653676e-01,-5.364937097542407107e-01,-6.178997993921957477e-01,-7.017673669711073370e-02,-4.508635025281650804e-02,5.837141699598843297e-02,1.928152143955230713e-01
-5.788153209442384872e-01,-5.833229866633692362e-01,-5.960367406616231545e-01,-2.156706808036486667e-03,-2.357272678000553803e-03,3.378870561451602188e-03,1.743968389928340912e-02
-5.750218045540682610e-01,-5.756896049392433712e-01,-6.074154478796383039e-01,-4.798937591221547755e-02,-3.786935604565595803e-02,3.615026920284138134e-02,1.271215677261352539e-01
-5.344405955881098569e-01,-5.894621183501437267e-01,-6.119779909530288498e-01,-5.667115460435229873e-02,-8.275301783021950242e-02,6.194105668150849675e-02,2.155511975288391113e-01
-5.888837797287315157e-01,-5.641956481227646814e-01,-6.069311973704584195e-01,-2.100940995755776197e-02,-1.697786259883583143e-02,1.620404101624655160e-02,6.601069867610931396e-02
-6.121794554330126648e-01,-5.762940508626772651e-01,-5.734781192623729096e-01,-3.151898256381780589e-02,-2.506502621217001486e-02,5.315850523600822858e-02,1.214056313037872314e-01
-5.935827621466402970e-01,-5.521458088410576837e-01,-6.050909288823860255e-01,-3.714200818539227511e-02,-2.509464964440175083e-02,3.077602642843139599e-02,1.058093756437301636e-01
-5.936225546806739306e-01,-5.691581852819823650e-01,-5.841264232866255623e-01,-2.014329445005151945e-02,-2.066641129097088539e-02,2.213798752481180646e-02,6.652213633060455322e-02
-6.165649247758974161e-01,-5.569122178608302276e-01,-5.745887105940959971e-01,-2.789066197610437503e-02,-2.501087970615145997e-02,3.857860300736954545e-02,1.071992442011833191e-01
-6.143561787556999221e-01,-5.492187379040666118e-01,-6.019026027158954628e-01,-2.798479606229046374e-02,-3.538059745812383722e-02,3.686820214677859892e-02,1.173430159687995911e-01
-5.735991049095591210e-01,-6.358963416874054975e-01,-5.506446488741629786e-01,8.926412470501299268e-03,-6.845285143460727584e-02,2.312056739466117079e-03,1.419517844915390015e-01
-5.483399588170737582e-01,-6.618094866136499110e-01,-5.222458488468015858e-01,1.699942082678433317e-02,-1.086485568394830459e-01,-1.441239275247675929e-02,2.311292737722396851e-01
-5.264948932864094155e-01,-6.493501978709181888e-01,-5.845836859063565649e-01,2.763363965358715726e-03,-6.909467695113624686e-02,-1.290283048759101325e-02,1.617893576622009277e-01
-5.293506274132799838e-01,-5.981114883568600105e-01,-6.335490646949610838e-01,-7.761082455157754245e-03,2.603637284393374961e-03,-4.808682206183328978e-03,9.322556853294372559e-02
-5.126484207358650291e-01,-6.400007195319595832e-01,-6.180925079800181354e-01,-6.155488045979987371e-04,-2.458671167981029554e-02,-4.381065991480702186e-03,1.256214678287506104e-01
-5.148582243452510809e-01,-6.501880697824046207e-01,-5.937264054743564001e-01,8.237137677974066055e-03,-9.689132235479330779e-02,-1.220840662675873670e-02,2.065807580947875977e-01
-5.739393945085879967e-01,-6.682005853913025595e-01,-5.083730009103242242e-01,-1.708896214209403366e-02,-1.059907737022889734e-01,1.602639047954030824e-02,2.339086532592773438e-01
-4.793663763314595649e-01,-6.811198296284814990e-01,-6.007507750109983835e-01,2.290038545409052006e-03,-6.593086166131705006e-02,1.642199059802416927e-02,2.116939276456832886e-01
-5.503675196172174156e-01,-6.658245372232959314e-01,-5.452643437738605714e-01,-1.851311187709517997e-02,-1.497697526817808877e-01,2.372825254004710949e-02,2.897512614727020264e-01
-6.271071935384562313e-01,-5.651317182430392050e-01,-5.606212486617300206e-01,-3.654262039271907042e-03,2.876116153943639696e-03,-2.092055264590284708e-02,7.428814470767974854e-02
-6.219128397802043962e-01,-5.731033012552915196e-01,-5.637744961707950031e-01,-2.350157164571997810e-03,1.060459378266058591e-03,-5.450202511036116547e-03,5.507985129952430725e-02
-6.231902211388045121e-01,-5.837347529793553980e-01,-5.474030531384576070e-01,-4.709289426574364557e-03,3.663536830535405863e-03,-1.354987596033538355e-02,7.048265635967254639e-02
-4.909236809200206997e-01,-6.089754381688682328e-01,-6.683533273777372274e-01,8.394226324556332275e-02,3.768158751962777386e-02,-4.159059755118389365e-03,2.234326004981994629e-01
-6.514221289183681485e-01,-6.624318587441478945e-01,-4.232693918902563635e-01,9.902997357681931137e-03,-3.546515844004616280e-02,-2.229348736678848919e-02,2.454492300748825073e-01
-5.184436367943414670e-01,-5.772464090003365245e-01,-7.057553199568822322e-01,1.264838664403029056e-01,5.645506160616190275e-03,1.411094015452971431e-02,2.760733067989349365e-01
-5.751122259706789031e-01,-6.025564681828980973e-01,-5.782801281695667539e-01,-1.236859236457137166e-03,-1.222925917237829884e-03,3.457607959870592426e-03,2.685558795928955078e-02
-3.566357900680653392e-01,-6.129673968873033951e-01,-8.043843191289890004e-01,1.752363863486041673e-01,9.244082920476948129e-02,-1.682149483168895055e-03,5.188258886337280273e-01
-4.527306826579986510e-01,-5.727092283454193744e-01,-7.004467268288856463e-01,1.785785537712462900e-01,6.911945855978231246e-02,5.567885112310631823e-02,4.066217839717864990e-01
-6.719473984526600496e-01,-4.821040150723775453e-01,-6.156769581442541606e-01,1.840828044276096587e-02,-1.439130985051897439e-02,8.291303259003059145e-02,2.253573536872863770e-01
-6.383616439055797009e-01,-5.341352611596316136e-01,-5.779401962256524028e-01,-4.201427452327386250e-03,-3.005079526066072992e-03,5.307625459216889358e-02,1.294128894805908203e-01
-6.465175798041993271e-01,-5.453142764674383525e-01,-5.782051019490069832e-01,-1.816490921175599460e-02,-1.247454750252313498e-02,7.495536038161401682e-02,1.621940433979034424e-01
-6.448673228434896876e-01,-4.986913200750590081e-01,-6.103699257015654522e-01,-5.671670577442228245e-02,-3.135381495794174744e-02,5.966318925369039350e-02,2.019738405942916870e-01
-6.447852203866918375e-01,-5.168941646502671627e-01,-6.130253345592453496e-01,-3.083296862477824529e-02,-1.784444307882688055e-02,4.422548306105665572e-02,1.515848785638809204e-01
-6.449470051378842772e-01,-5.238951960096109861e-01,-5.966686234580776960e-01,-2.631193657202064370e-02,-6.822422509463900615e-03,4.497753780226415588e-02,1.393760591745376587e-01
-6.529956489129594699e-01,-5.337652948024855792e-01,-5.748642850002727567e-01,4.527600789522512152e-03,-6.120479831634060945e-03,5.520829027702404967e-02,1.425570100545883179e-01
-6.091282532937403182e-01,-5.972175410599233070e-01,-5.383764021523438359e-01,-2.132797252736535684e-02,-3.353421858296640884e-02,3.680830381888174074e-02,1.144893765449523926e-01
-6.394474052245443518e-01,-5.806936200268398851e-01,-5.385744305393547204e-01,-1.442000356601648089e-02,-3.135526706943618513e-02,4.344330239677858529e-02,1.301380991935729980e-01
-6.344489492758985660e-01,-5.958025191990391489e-01,-5.444289145001844910e-01,-1.604780127178756857e-02,-3.161998278919941202e-02,6.152300599256953911e-02,1.457583904266357422e-01
-6.586040057425186500e-01,-5.955886361349065350e-01,-4.729374843471274570e-01,-2.946379270128358235e-02,-3.773112070931690376e-02,1.129492749454288486e-01,2.681250274181365967e-01
-6.329708293927271967e-01,-4.781940487471273427e-01,-6.404632998178183545e-01,-3.469303522037814336e-02,7.374707845517108028e-03,-2.468326524257707238e-02,1.754235476255416870e-01
-6.036519938350881631e-01,-6.161329452263273332e-01,-5.421318812680387955e-01,-2.262010366787831767e-02,-3.379220576678080429e-02,5.340098021249922722e-02,1.349965482950210571e-01
-6.132789064183844507e-01,-6.369861000602572432e-01,-4.859236649201155167e-01,-3.539713075952013316e-02,-6.941682603339670299e-02,6.348853761477005198e-02,2.238480895757675171e-01
-5.646062467025122489e-01,-6.148557804603194121e-01,-5.887643958885986351e-01,2.563760195969085054e-02,-4.538855954433035356e-02,-1.941172789885618061e-02,1.057230606675148010e-01
-6.219864086399754521e-01,-5.222456047935456480e-01,-6.131538298307048773e-01,-1.606861639922532031e-02,1.419187142934624779e-02,-4.019478130406196892e-02,1.239796951413154602e-01
-5.844083540201236993e-01,-6.155581497577302663e-01,-5.679870348449932438e-01,1.865043247726799747e-02,-3.900440434454241490e-02,-2.357543476882205044e-02,9.500757604837417603e-02
-5.655503032773921968e-01,-6.355821706205275756e-01,-5.398345537622049051e-01,4.529727501999326889e-02,-7.530121847287753190e-02,-5.181756962826367108e-02,1.964388340711593628e-01
-6.129046435868149567e-01,-5.642961808562063641e-01,-5.853842977122314384e-01,-2.423582928308845932e-02,2.495071741462084880e-02,-1.982760269019442217e-02,8.118849992752075195e-02
-5.767953041767627242e-01,-5.987766850739800750e-01,-5.875933224371132635e-01,4.494177306124711585e-02,-4.101135935202256805e-02,-4.345009403743643056e-02,1.308863610029220581e-01
-5.876900707147952874e-01,-5.955938983537842901e-01,-5.754048267274748385e-01,2.487911908471317560e-02,-3.682351934430868473e-02,-2.848442228514552060e-02,9.310967475175857544e-02
-5.746172638418913792e-01,-6.083518664861143899e-01,-5.612099545400250911e-01,5.664056219823333793e-02,-6.025736292828347967e-02,-6.728920574046595715e-02,1.893961131572723389e-01
-4.840576537907074206e-01,-5.671913888171923324e-01,-7.133066936227877575e-01,-1.013558911845602456e-01,6.150015748079924391e-03,-2.663314533156059538e-02,2.710507512092590332e-01
-5.440402956294307923e-01,-5.673070186466162568e-01,-6.554304600454694540e-01,-1.088971967501192184e-01,4.979655364178223187e-02,-2.162984848954511291e-02,2.340424358844757080e-01
-6.026306847448621440e-01,-5.785943691909817277e-01,-5.774606509202326876e-01,1.312224506156565735e-03,-1.340084096397904916e-03,3.465004973218973878e-04,2.484338171780109406e-02
-5.809149041864425378e-01,-5.474942047199107265e-01,-6.492023700433015021e-01,-6.381899261541176815e-02,-4.523088970563658826e-04,-5.116282620546737901e-03,1.426887214183807373e-01
-5.747581839407699400e-01,-5.556183687376510250e-01,-6.338712822731989993e-01,-6.364123258423462492e-02,1.476320729640673117e-02,-1.696724875357449218e-03,1.334361881017684937e-01
-5.352098552721423763e-01,-5.683837735937694591e-01,-6.394115464203596888e-01,-4.958324216736013229e-02,6.321425537646100691e-03,-6.517716630799524381e-03,1.269824355840682983e-01
-5.348237191312085193e-01,-5.683620132164923788e-01,-6.400290432271563690e-01,-4.871701831850982350e-02,7.500573469008927144e-03,-6.791989411466674113e-03,1.268533915281295776e-01
-5.250035559311502231e-01,-6.028075358195713607e-01,-6.344013097253888844e-01,-6.040784638779585908e-02,6.515890847838050511e-03,-7.177727741083266000e-03,1.440104246139526367e-01
-5.333100581512436600e-01,-5.723519714116771517e-01,-6.516180701525290386e-01,-4.328899623002466918e-02,1.468930237789460407e-02,-2.180125094941140831e-02,1.363712102174758911e-01
-6.296609484695994130e-01,-6.032172565907099049e-01,-5.281335799853721369e-01,1.435584745162209359e-02,-2.866450338771800443e-02,-4.564753818710887839e-02,1.328783035278320312e-01
-6.186757996474455679e-01,-5.765019500832800903e-01,-5.499372627069806230e-01,1.379418449085134148e-02,-1.972759112820095251e-02,-3.175615848022241006e-02,9.147887676954269409e-02
-6.188135875953375553e-01,-5.765809313635713584e-01,-5.517919745001049758e-01,1.456529299359542694e-02,-1.562997262976682789e-02,-3.714523182284997643e-02,9.462361782789230347e-02
-6.532922775419631733e-01,-5.422885038714875261e-01,-5.531215933263633477e-01,3.250167583224278928e-02,-3.670471550644939518e-02,-8.794335056631241709e-02,2.040822505950927734e-01
-6.257943204517978364e-01,-5.795798059604213570e-01,-5.533319045755997756e-01,2.328003407571841224e-02,-2.616005976533094385e-02,-3.039039477432651029e-02,1.024081185460090637e-01
-6.255434304678257895e-01,-5.678305467844384502e-01,-5.793649776649659744e-01,1.432799736203417031e-02,-1.145288624035388156e-02,-3.973965372092429921e-02,9.244044125080108643e-02
