ux,uy,uz
-4.493811008134537809e-35,-2.903328176266416288e-35,-2.000000000000000000e+01
-2.900532561204891888e-35,-2.000000000000000000e+01,-2.000000000000000000e+01
-3.898244857249527961e-35,-2.000000000000000000e+01,-5.194656574695191724e-35
-3.908608920450753570e-35,-4.204526306423007367e-35,-1.297128978696321620e-35
-2.000000000000000000e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.021013313582328840e-35
-2.000000000000000000e+01,-2.898333088894881249e-35,-4.779542542298932984e-35
-2.000000000000000000e+01,-4.353155880781180779e-35,-2.000000000000000000e+01
-1.003726263189401102e+01,-4.095547162988912859e+00,-1.000271788991380184e+01
-1.002120999261714474e+01,-1.592466704619623030e+01,-9.975728900813722433e+00
-7.710646327536811847e-35,-1.976785438665003891e+00,-2.000000000000000000e+01
-7.645302329842336903e-35,-3.961301540531183552e+00,-2.000000000000000000e+01
-8.498563873166059727e-35,-5.960026364356432182e+00,-2.000000000000000000e+01
-6.553240533167082092e-35,-7.975674869372010534e+00,-2.000000000000000000e+01
-7.142546946563871303e-35,-1.000179189504741473e+01,-2.000000000000000000e+01
-7.474613485053367980e-35,-1.202653590442947973e+01,-2.000000000000000000e+01
-7.519873918881195265e-35,-1.404135431308719362e+01,-2.000000000000000000e+01
-8.643203472680149398e-35,-1.604095301901049808e+01,-2.000000000000000000e+01
-7.221281532751924566e-35,-1.802468466701929728e+01,-2.000000000000000000e+01
-7.824143376701090166e-35,-2.000000000000000000e+01,-1.802396901300200227e+01
-8.634052335726410915e-35,-2.000000000000000000e+01,-1.603989776454386984e+01
-6.903678359835967633e-35,-2.000000000000000000e+01,-1.404140863591556787e+01
-8.329132950772250384e-35,-2.000000000000000000e+01,-1.202621571483081553e+01
-7.470769747158701046e-35,-2.000000000000000000e+01,-9.999918650598122127e+00
-8.491832317831690593e-35,-2.000000000000000000e+01,-7.974360963716138784e+00
-7.561689709130140284e-35,-2.000000000000000000e+01,-5.959435681440780286e+00
-9.103289433605549708e-35,-2.000000000000000000e+01,-3.960903544597877080e+00
-7.265730861548742713e-35,-2.000000000000000000e+01,-1.976116781092720487e+00
-7.681555938215954406e-35,-1.802452002839894973e+01,-6.885682094223781702e-35
-7.651371475710350231e-35,-1.603976457549414292e+01,-6.688523303947679735e-35
-7.416597614183053952e-35,-1.403980990774365267e+01,-6.720525080851570328e-35
-7.049837514081617442e-35,-1.202352405969878824e+01,-7.024825792833335547e-35
-7.175226529867194465e-35,-9.997411346205810290e+00,-7.143754284304753646e-35
-7.565221521954802853e-35,-7.971991276918247493e+00,-6.531864795658003856e-35
-7.433909757134603884e-35,-5.957752144060233235e+00,-7.326342683234027966e-35
-6.920239545458472074e-35,-3.959898108465576438e+00,-7.201578682859124364e-35
-8.633627371907115769e-35,-1.976371307200831984e+00,-7.209312014352514623e-35
-7.833633097612088587e-35,-7.352546542719734107e-35,-1.975926247320589635e+00
-7.213227189948799138e-35,-8.604911848353052124e-35,-3.960348449289054606e+00
-9.158705113817053666e-35,-6.550227287955500328e-35,-5.959005866104639892e+00
-6.953152099077505039e-35,-8.439510761737188409e-35,-7.973751235796941117e+00
-7.533098255307946025e-35,-6.478698589369412758e-35,-9.999737159446707935e+00
-7.551765788699863838e-35,-6.510121238564963422e-35,-1.202563472161492086e+01
-7.616999974075727151e-35,-6.585014183691186033e-35,-1.404104181428886733e+01
-7.702569787537811310e-35,-6.680905653199788640e-35,-1.603968244773538032e+01
-8.429527116514802099e-35,-7.150842640555035641e-35,-1.802408128317632929e+01
-1.975861258213509331e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
-3.960503329176908061e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
-5.959966902118377874e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
-7.976143439443859506e+00,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.000165351435597572e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.202719426503984401e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.404179928573823766e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.603985981483691603e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-1.802404188733606816e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.802458611997006699e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.604024995359063155e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.404049672415765571e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.202612121120107247e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.000034789837247828e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-7.974602248790652936e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,-5.959293017203847853e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,-3.959763742922412177e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.976138287409499039e+00
-1.802418415370845040e+01,-2.000000000000000000e+01,-6.706548292752379995e-35
-1.604024155446933975e+01,-2.000000000000000000e+01,-8.630743426869186301e-35
-1.404127424165448446e+01,-2.000000000000000000e+01,-6.792013481811526304e-35
-1.202639573880402324e+01,-2.000000000000000000e+01,-8.465169213599782769e-35
-1.000069037958534501e+01,-2.000000000000000000e+01,-6.469288260856654970e-35
-7.974395639090311683e+00,-2.000000000000000000e+01,-6.481308806930278606e-35
-5.959441369484499873e+00,-2.000000000000000000e+01,-9.019410015109874219e-35
-3.960634524838782866e+00,-2.000000000000000000e+01,-8.599128856648715247e-35
-1.977576519055758153e+00,-2.000000000000000000e+01,-7.168143653611878641e-35
-1.802384992271316122e+01,-8.678514224500315428e-35,-6.747983403989302271e-35
-1.603879583798156361e+01,-6.694782168464822155e-35,-9.560974380040714540e-35
-1.404020892390594000e+01,-8.521937201816040575e-35,-6.683774319241474666e-35
-1.202517301520581583e+01,-7.461989925098114051e-35,-8.452644657135283261e-35
-1.000095282032956945e+01,-7.061587277588232467e-35,-7.394696793021530500e-35
-7.975023940670057598e+00,-7.526928150625850324e-35,-6.552844552321367150e-35
-5.959390022225678152e+00,-7.548518238623306174e-35,-8.542454689381645773e-35
-3.959836157032565751e+00,-6.669162828102575662e-35,-7.326091896376883642e-35
-1.975773679039841912e+00,-6.903080355876686107e-35,-7.663664552042787353e-35
-2.000000000000000000e+01,-1.802406982780385292e+01,-7.895707053589358207e-35
-2.000000000000000000e+01,-1.603949125101853923e+01,-8.874928386837087612e-35
-2.000000000000000000e+01,-1.404101259895493214e+01,-6.986436108923619634e-35
-2.000000000000000000e+01,-1.202710669228606655e+01,-7.495219711206433154e-35
-2.000000000000000000e+01,-1.000141141067461881e+01,-8.432030471202936299e-35
-2.000000000000000000e+01,-7.975291518785388334e+00,-7.566991194934689992e-35
-2.000000000000000000e+01,-5.959812115507742369e+00,-8.752333791341259943e-35
-2.000000000000000000e+01,-3.960787112065899063e+00,-7.056041284803912247e-35
-2.000000000000000000e+01,-1.975836338178578178e+00,-7.466072676862402662e-35
-1.802453769880090206e+01,-8.684510380659052452e-35,-2.000000000000000000e+01
-1.604076943911784525e+01,-6.943400932576757948e-35,-2.000000000000000000e+01
-1.404153759733682527e+01,-9.071722180447171153e-35,-2.000000000000000000e+01
-1.202596463210532818e+01,-7.279655022920891174e-35,-2.000000000000000000e+01
-9.999842644770888356e+00,-7.472156802061102872e-35,-2.000000000000000000e+01
-7.973980989281181486e+00,-8.464960378292384335e-35,-2.000000000000000000e+01
-5.959715762778017734e+00,-7.111240373849661951e-35,-2.000000000000000000e+01
-3.960619471828275895e+00,-7.204478674748776843e-35,-2.000000000000000000e+01
-1.976549405941844251e+00,-9.539098944210551120e-35,-2.000000000000000000e+01
-2.000000000000000000e+01,-7.654409268025954287e-35,-1.976495722628891727e+00
-2.000000000000000000e+01,-6.164847689394873072e-35,-3.961622970717934678e+00
-2.000000000000000000e+01,-7.767437716982500080e-35,-5.960234886052488967e+00
-2.000000000000000000e+01,-7.535156474015077546e-35,-7.974374043879222995e+00
-2.000000000000000000e+01,-6.617610843260746899e-35,-9.999912572022315871e+00
-2.000000000000000000e+01,-6.372173607279630074e-35,-1.202586376380430622e+01
-2.000000000000000000e+01,-6.537842145961512413e-35,-1.404120541190063243e+01
-2.000000000000000000e+01,-6.836343074623744247e-35,-1.604011457183603540e+01
-2.000000000000000000e+01,-7.227378058568546747e-35,-1.802415098687875528e+01
-2.000000000000000000e+01,-1.975885855532031776e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-3.959752325004780360e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-5.958407055633497151e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-7.973510547414127458e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-9.999483266411582250e+00,-2.000000000000000000e+01
-2.000000000000000000e+01,-1.202514881558397875e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-1.404029620833250469e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-1.603925466577655001e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-1.802364837207805337e+01,-2.000000000000000000e+01
-1.228787057840164287e+01,-4.542169165302226475e+00,-9.993914342562518982e+00
-1.424719435921224786e+01,-5.747165695975501976e+00,-9.979525143372464768e+00
