fx,fy,fz
-5.107818755428011315e+01,-2.553116802451017620e+01,2.551895608246146097e+01
-2.548387500021601682e+01,5.098009478643379566e+01,5.104034780270359306e+01
-5.114719815218580123e+01,2.543676140445820977e+01,-5.100917021320733369e+01
-2.552025459166437926e+01,-5.112724304087613092e+01,-2.553627914946431332e+01
5.106958352995184214e+01,2.552401866695402077e+01,2.549897101650435971e+01
2.550000634078198658e+01,5.107122397928040414e+01,-2.551852117353879734e+01
5.101662213509735722e+01,-2.545705195200430282e+01,-5.105730096789761774e+01
2.546011229681799648e+01,-5.102430238033802112e+01,5.098281565771870305e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.628786950635705466e+01,0.000000000000000000e+00,7.641441763705579149e+01
-7.556666094107977472e+01,0.000000000000000000e+00,7.584544603204082591e+01
-7.465178667446996030e+01,0.000000000000000000e+00,7.513152793636180604e+01
-7.410120121904738255e+01,0.000000000000000000e+00,7.454417862627096270e+01
-7.413835457493875936e+01,0.000000000000000000e+00,7.414700473076985077e+01
-7.454950833061366211e+01,0.000000000000000000e+00,7.422055130029313830e+01
-7.488839210047775907e+01,0.000000000000000000e+00,7.461742642349823029e+01
-7.601419705791779791e+01,0.000000000000000000e+00,7.593061144845802346e+01
-7.644842524190468680e+01,0.000000000000000000e+00,7.630966880417057041e+01
-7.637461384658445240e+01,7.616604519045777977e+01,0.000000000000000000e+00
-7.586447774205532824e+01,7.562344526310896242e+01,0.000000000000000000e+00
-7.511887251904239804e+01,7.475599129802351683e+01,0.000000000000000000e+00
-7.424591375912181945e+01,7.413295736236067057e+01,0.000000000000000000e+00
-7.403915995817820317e+01,7.410992909553779384e+01,0.000000000000000000e+00
-7.431270747487380390e+01,7.440457248184804939e+01,0.000000000000000000e+00
-7.477947759970376751e+01,7.525113181280623564e+01,0.000000000000000000e+00
-7.569365360859301006e+01,7.587363895525874113e+01,0.000000000000000000e+00
-7.631395790097647591e+01,7.628039057378647669e+01,0.000000000000000000e+00
-7.637090543241232865e+01,0.000000000000000000e+00,-7.630647898126912310e+01
-7.566476182505982706e+01,0.000000000000000000e+00,-7.569328837985324299e+01
-7.497758675144012841e+01,0.000000000000000000e+00,-7.489844812996769008e+01
-7.433399357539758512e+01,0.000000000000000000e+00,-7.410310641055400538e+01
-7.408243486513273979e+01,0.000000000000000000e+00,-7.425508937150949862e+01
-7.434078390974761419e+01,0.000000000000000000e+00,-7.440400173929118921e+01
-7.511718069285126376e+01,0.000000000000000000e+00,-7.516413507540126204e+01
-7.585372527054727243e+01,0.000000000000000000e+00,-7.580807208380879558e+01
-7.641127521618444973e+01,0.000000000000000000e+00,-7.629451186387196060e+01
-7.644973003479074691e+01,-7.631213070978836299e+01,0.000000000000000000e+00
-7.587946676553936243e+01,-7.563847167571304908e+01,0.000000000000000000e+00
-7.514098343338770292e+01,-7.487660455318628294e+01,0.000000000000000000e+00
-7.447777405251189009e+01,-7.417913615436695807e+01,0.000000000000000000e+00
-7.410454429672424226e+01,-7.414307228832048224e+01,0.000000000000000000e+00
-7.426393140559311234e+01,-7.444312026562812434e+01,0.000000000000000000e+00
-7.491635913552266857e+01,-7.532446641153057953e+01,0.000000000000000000e+00
-7.569813063923673724e+01,-7.605353700289121832e+01,0.000000000000000000e+00
-7.621765191608943724e+01,-7.649081029029291301e+01,0.000000000000000000e+00
0.000000000000000000e+00,7.622309087665128402e+01,7.625472068898703526e+01
0.000000000000000000e+00,7.560817578156650143e+01,7.568981461040057468e+01
0.000000000000000000e+00,7.490918185586124878e+01,7.482530779566027945e+01
0.000000000000000000e+00,7.432968140683749425e+01,7.435517474769999069e+01
0.000000000000000000e+00,7.389353082301643383e+01,7.412613514201305520e+01
0.000000000000000000e+00,7.443696413541771051e+01,7.425477901536783065e+01
0.000000000000000000e+00,7.517467491109808009e+01,7.516901820082279073e+01
0.000000000000000000e+00,7.585390986612387110e+01,7.571258069567088000e+01
0.000000000000000000e+00,7.635549931446018945e+01,7.623421597195176957e+01
7.613815213591384179e+01,7.640033950975102073e+01,0.000000000000000000e+00
7.546984321116283922e+01,7.600176355498959424e+01,0.000000000000000000e+00
7.468262840519005863e+01,7.480042697139580810e+01,0.000000000000000000e+00
7.449295176684172759e+01,7.457336450738064570e+01,0.000000000000000000e+00
7.406559362130356305e+01,7.402364867557633943e+01,0.000000000000000000e+00
7.439491541909218597e+01,7.428356527374837981e+01,0.000000000000000000e+00
7.487863040454001862e+01,7.489129549013276232e+01,0.000000000000000000e+00
7.590922441214813432e+01,7.551769027448533222e+01,0.000000000000000000e+00
7.631127143008234270e+01,7.619369255675802322e+01,0.000000000000000000e+00
0.000000000000000000e+00,7.621718572632690325e+01,-7.636618387375149553e+01
0.000000000000000000e+00,7.562662571439071257e+01,-7.584880696348210449e+01
0.000000000000000000e+00,7.482306254544383251e+01,-7.507493623582817577e+01
0.000000000000000000e+00,7.430906096857174248e+01,-7.443758093397343600e+01
0.000000000000000000e+00,7.407778543358719503e+01,-7.410309490071458072e+01
0.000000000000000000e+00,7.454337607438672819e+01,-7.414055826653107317e+01
0.000000000000000000e+00,7.513654612857155257e+01,-7.475479628376258745e+01
0.000000000000000000e+00,7.568817519231947699e+01,-7.556879412297843146e+01
0.000000000000000000e+00,7.644048834769672851e+01,-7.629999629715878484e+01
0.000000000000000000e+00,-7.630176376062263444e+01,-7.617373215507966222e+01
0.000000000000000000e+00,-7.580404731601923629e+01,-7.560306624469663461e+01
0.000000000000000000e+00,-7.510476109765083663e+01,-7.464400207213344629e+01
0.000000000000000000e+00,-7.442395444579260300e+01,-7.438596025965929925e+01
0.000000000000000000e+00,-7.423281435002999729e+01,-7.398261770175608376e+01
0.000000000000000000e+00,-7.419921256298863455e+01,-7.442181949798026608e+01
0.000000000000000000e+00,-7.488275600117719932e+01,-7.507337655155809841e+01
0.000000000000000000e+00,-7.580615118712351830e+01,-7.587233339443061197e+01
0.000000000000000000e+00,-7.623029273780042558e+01,-7.636034251608178636e+01
7.627507019121195242e+01,0.000000000000000000e+00,-7.635991030931646151e+01
7.579541651341391173e+01,0.000000000000000000e+00,-7.589640571779408162e+01
7.520007030334055287e+01,0.000000000000000000e+00,-7.501826129355384865e+01
7.445778656950723473e+01,0.000000000000000000e+00,-7.451965494055231432e+01
7.405802791078559721e+01,0.000000000000000000e+00,-7.416566528542605852e+01
7.421485899694982891e+01,0.000000000000000000e+00,-7.428844339133596009e+01
7.496488315100077671e+01,0.000000000000000000e+00,-7.490779644811534865e+01
7.560634843953110362e+01,0.000000000000000000e+00,-7.560364460089701311e+01
7.625161286153198148e+01,0.000000000000000000e+00,-7.635884628986453038e+01
0.000000000000000000e+00,-7.638711786719255770e+01,7.633929179012557142e+01
0.000000000000000000e+00,-7.572156238918721272e+01,7.556559872989215876e+01
0.000000000000000000e+00,-7.497314717280990237e+01,7.484719960775839809e+01
0.000000000000000000e+00,-7.432351474643232336e+01,7.426988270193709241e+01
0.000000000000000000e+00,-7.406476323200084266e+01,7.413878709594828820e+01
0.000000000000000000e+00,-7.449203985238987968e+01,7.447632190939840768e+01
0.000000000000000000e+00,-7.504944995864438795e+01,7.508803359075670869e+01
0.000000000000000000e+00,-7.578461890908366172e+01,7.579278061167585179e+01
0.000000000000000000e+00,-7.637250576393613244e+01,7.631893702835766646e+01
7.619733838291492134e+01,-7.636845403003350441e+01,0.000000000000000000e+00
7.541864980420905340e+01,-7.587598627402579154e+01,0.000000000000000000e+00
7.476333020631551562e+01,-7.512388345253660304e+01,0.000000000000000000e+00
7.418816915416662994e+01,-7.446683114326032182e+01,0.000000000000000000e+00
7.400782466979924834e+01,-7.404728892915426286e+01,0.000000000000000000e+00
7.439838661040616330e+01,-7.423959280275968808e+01,0.000000000000000000e+00
7.504039199837036733e+01,-7.480863262804652436e+01,0.000000000000000000e+00
7.577826181394580374e+01,-7.557526634619414097e+01,0.000000000000000000e+00
7.633601138940987596e+01,-7.623149835850873046e+01,0.000000000000000000e+00
7.637402186619304700e+01,0.000000000000000000e+00,7.619897614064042557e+01
7.590637751486823959e+01,0.000000000000000000e+00,7.561897298362866593e+01
7.514073572894176323e+01,0.000000000000000000e+00,7.486014420675940073e+01
7.439350717331031149e+01,0.000000000000000000e+00,7.418607056026945656e+01
7.416416431453623659e+01,0.000000000000000000e+00,7.420645648089340796e+01
7.424107854045460897e+01,0.000000000000000000e+00,7.465463499624378585e+01
7.491578243483334631e+01,0.000000000000000000e+00,7.510525732794397413e+01
7.552332608749628662e+01,0.000000000000000000e+00,7.576649534707695466e+01
7.619164723415153162e+01,0.000000000000000000e+00,7.629508963721140447e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.520510359297319098e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.501619381556616020e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.479086305137139448e+02,0.000000000000000000e+00,0.000000000000000000e+00
