ux,uy,uz
-1.036624824317049120e-34,-6.714582207181659765e-35,2.000000000000000000e+01
-6.724578891708893641e-35,-2.000000000000000000e+01,2.000000000000000000e+01
-9.005929771104557396e-35,-2.000000000000000000e+01,1.328597586747005381e-34
-9.048659599609351315e-35,-9.708671521501760392e-35,3.341204623695570322e-35
-2.000000000000000000e+01,-2.000000000000000000e+01,2.000000000000000000e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,2.633067315227642620e-35
-2.000000000000000000e+01,-6.710216992923067491e-35,1.220912612121518413e-34
-2.000000000000000000e+01,-1.002925720145760399e-34,2.000000000000000000e+01
-1.010742173300284819e+01,-2.078255941056356360e+00,9.993587807249111776e+00
-1.005347993981404287e+01,-1.792851113684110231e+01,9.867722419921069132e+00
-1.781681693682044147e-34,-1.987060651874585915e+00,2.000000000000000000e+01
-1.774543359853007335e-34,-3.976673990058390284e+00,2.000000000000000000e+01
-1.988473919950502886e-34,-5.976040924391869069e+00,2.000000000000000000e+01
-1.548237791934718448e-34,-7.987188669342473624e+00,2.000000000000000000e+01
-1.684980503969368610e-34,-1.000155331590170427e+01,2.000000000000000000e+01
-1.761746674355027003e-34,-1.201538884594634737e+01,2.000000000000000000e+01
-1.753715625468090739e-34,-1.402653001826922363e+01,2.000000000000000000e+01
-2.006694745498890162e-34,-1.602755633059923568e+01,2.000000000000000000e+01
-1.669145913717018212e-34,-1.801785450808233691e+01,2.000000000000000000e+01
-1.804635355666442170e-34,-2.000000000000000000e+01,1.801693587876320990e+01
-1.966602796527083463e-34,-2.000000000000000000e+01,1.602541816377619099e+01
-1.543560189153036844e-34,-2.000000000000000000e+01,1.402282050221721654e+01
-1.822173323527644143e-34,-2.000000000000000000e+01,1.201377818092568539e+01
-1.616670054354561150e-34,-2.000000000000000000e+01,9.998899370456056701e+00
-1.856343027381148334e-34,-2.000000000000000000e+01,7.986313086802400818e+00
-1.685893163490174281e-34,-2.000000000000000000e+01,5.977784576418688545e+00
-2.071743252029262686e-34,-2.000000000000000000e+01,3.973974415718267039e+00
-1.673370381510606919e-34,-2.000000000000000000e+01,1.982446980238003365e+00
-1.771563704359746229e-34,-1.801659307618411887e+01,1.763732778261031586e-34
-1.773389115141170762e-34,-1.602424072697460034e+01,1.708965519444540193e-34
-1.726254389659583014e-34,-1.402260752894921225e+01,1.714898832208566813e-34
-1.655226134734195497e-34,-1.201085207730321791e+01,1.783125983836470488e-34
-1.692069294204541161e-34,-9.996195175552276879e+00,1.821411173816896640e-34
-1.776706541616204196e-34,-7.980724074682250091e+00,1.663077101952323923e-34
-1.741222077617215642e-34,-5.971951495437832769e+00,1.880216772993734788e-34
-1.609829337361507878e-34,-3.973991510744693478e+00,1.844524300494984855e-34
-1.997578018822379433e-34,-1.984291472217068586e+00,1.846571378674721007e-34
-1.807680754625766997e-34,-1.694905532755816758e-34,1.983831849349145360e+00
-1.646851974470375885e-34,-1.959896113261394798e-34,3.976157036494704755e+00
-2.051566486453521956e-34,-1.453054540110334871e-34,5.978402860210289660e+00
-1.523463424412296951e-34,-1.842805210601720833e-34,7.988445483658321855e+00
-1.633268242214464945e-34,-1.399442927834549400e-34,1.000053110002535739e+01
-1.649285099496073681e-34,-1.422742385576041878e-34,1.201405300226534933e+01
-1.698544459023200957e-34,-1.477494652953757833e-34,1.402555702649496006e+01
-1.752902737368992590e-34,-1.527088469605842909e-34,1.602970718699511821e+01
-1.938883462235303712e-34,-1.650055990266253612e-34,1.801966571347053403e+01
-1.985986904463770797e+00,-2.000000000000000000e+01,2.000000000000000000e+01
-3.977090097274809111e+00,-2.000000000000000000e+01,2.000000000000000000e+01
-5.978775738259122008e+00,-2.000000000000000000e+01,2.000000000000000000e+01
-7.989156370905440951e+00,-2.000000000000000000e+01,2.000000000000000000e+01
-1.000392099653918798e+01,-2.000000000000000000e+01,2.000000000000000000e+01
-1.201882702167924677e+01,-2.000000000000000000e+01,2.000000000000000000e+01
-1.402927729606438412e+01,-2.000000000000000000e+01,2.000000000000000000e+01
-1.602798818003151027e+01,-2.000000000000000000e+01,2.000000000000000000e+01
-1.801798650735361207e+01,-2.000000000000000000e+01,2.000000000000000000e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,1.801931261083652203e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,1.602713471926975330e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,1.402620070877632763e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,1.201394652009908093e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,9.998433523920107646e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,7.984439276694669019e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,5.974197142043793818e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,3.973827329605829295e+00
-2.000000000000000000e+01,-2.000000000000000000e+01,1.983742120102995665e+00
-1.801593245376211172e+01,-2.000000000000000000e+01,1.717724398727513824e-34
-1.602723026500639847e+01,-2.000000000000000000e+01,2.204227416148384010e-34
-1.402842563991823788e+01,-2.000000000000000000e+01,1.742306258172468284e-34
-1.201967032112337108e+01,-2.000000000000000000e+01,2.158514576563793632e-34
-1.000477790622905871e+01,-2.000000000000000000e+01,1.646728563513554262e-34
-7.988404783032390988e+00,-2.000000000000000000e+01,1.651394529792415984e-34
-5.977780500807798880e+00,-2.000000000000000000e+01,2.305027156832107204e-34
-3.975754886302911739e+00,-2.000000000000000000e+01,2.202217575614007696e-34
-1.985338636121171785e+00,-2.000000000000000000e+01,1.832843268425966576e-34
-1.801823830295281326e+01,-2.006916724251692388e-34,1.725363291366764820e-34
-1.602633483897578515e+01,-1.555862222904787166e-34,2.448965111049981874e-34
-1.402459901579400459e+01,-1.983741501360845567e-34,1.701300841926937292e-34
-1.201466566410515568e+01,-1.760072356400614176e-34,2.156960504701125062e-34
-1.000163017918331221e+01,-1.670312545170143952e-34,1.877274162969163981e-34
-7.986763567676777420e+00,-1.768774922713278941e-34,1.674370756863009944e-34
-5.976944962104632886e+00,-1.763522085546130119e-34,2.184927588228936729e-34
-3.977327017315559043e+00,-1.548799257927738892e-34,1.877131916411862191e-34
-1.986401585492944877e+00,-1.597189661517162591e-34,1.964745149563843832e-34
-2.000000000000000000e+01,-1.801798161307124246e+01,2.018663779398444758e-34
-2.000000000000000000e+01,-1.602688224682763618e+01,2.267089872098921635e-34
-2.000000000000000000e+01,-1.402602461443951931e+01,1.789059973668956423e-34
-2.000000000000000000e+01,-1.201711573216619655e+01,1.909037576535680709e-34
-2.000000000000000000e+01,-1.000067521355776634e+01,2.150892167140939716e-34
-2.000000000000000000e+01,-7.984413029397911643e+00,1.922973904321496972e-34
-2.000000000000000000e+01,-5.974758939985841621e+00,2.233950016501064340e-34
-2.000000000000000000e+01,-3.975111273072069018e+00,1.801046877211211316e-34
-2.000000000000000000e+01,-1.984088073261871310e+00,1.911286223179269777e-34
-1.801677121105474200e+01,-2.004002504632121290e-34,2.000000000000000000e+01
-1.602754959164786897e+01,-1.609666265597800172e-34,2.000000000000000000e+01
-1.402835338715931357e+01,-2.113519163663836417e-34,2.000000000000000000e+01
-1.201896540997966056e+01,-1.702346252896820161e-34,2.000000000000000000e+01
-1.000268305163577942e+01,-1.756404573665627188e-34,2.000000000000000000e+01
-7.985527358840439405e+00,-1.995394402359002913e-34,2.000000000000000000e+01
-5.975784830560992411e+00,-1.667691708591333764e-34,2.000000000000000000e+01
-3.974238781462102743e+00,-1.674780950445012294e-34,2.000000000000000000e+01
-1.984164517257538840e+00,-2.201421083331391927e-34,2.000000000000000000e+01
-2.000000000000000000e+01,-1.765648504731019595e-34,1.983168803221071030e+00
-2.000000000000000000e+01,-1.406238239586680438e-34,3.975620327962168687e+00
-2.000000000000000000e+01,-1.736533804382553240e-34,5.978004499626918822e+00
-2.000000000000000000e+01,-1.652785090868710546e-34,7.986879106215849511e+00
-2.000000000000000000e+01,-1.428391520801112274e-34,9.998467147104650010e+00
-2.000000000000000000e+01,-1.386568092458273028e-34,1.201058610862065734e+01
-2.000000000000000000e+01,-1.456833559877773138e-34,1.402179441755198042e+01
-2.000000000000000000e+01,-1.555559380418941663e-34,1.602462565529908645e+01
-2.000000000000000000e+01,-1.663643622989550726e-34,1.801644790611586089e+01
-2.000000000000000000e+01,-1.981969903369555697e+00,2.000000000000000000e+01
-2.000000000000000000e+01,-3.971930580198049565e+00,2.000000000000000000e+01
-2.000000000000000000e+01,-5.973147043299999126e+00,2.000000000000000000e+01
-2.000000000000000000e+01,-7.984517538305457407e+00,2.000000000000000000e+01
-2.000000000000000000e+01,-9.999071390140162663e+00,2.000000000000000000e+01
-2.000000000000000000e+01,-1.201536524770422076e+01,2.000000000000000000e+01
-2.000000000000000000e+01,-1.402463738190161280e+01,2.000000000000000000e+01
-2.000000000000000000e+01,-1.602438729068160583e+01,2.000000000000000000e+01
-2.000000000000000000e+01,-1.801422335890890025e+01,2.000000000000000000e+01
-1.307337925450492300e+01,-2.712763375504365193e+00,9.949548836024350251e+00
-1.572616886213539367e+01,-4.233388677932474309e+00,9.884839764684119956e+00
-1.726169913179968418e+01,-6.958604743341550325e+00,9.989833468947329820e+00
-1.781606003738830424e+01,-9.993487995022135806e+00,9.958179685838540962e+00
-1.724025409851287804e+01,-1.298316361729384383e+01,1.005743768039736885e+01
-1.563949156868655521e+01,-1.566634062647515080e+01,9.995339434372050746e+00
-1.304833023696515326e+01,-1.727302244643608731e+01,1.002563484014819828e+01
-3.675143522690586821e-34,-1.976336919675243609e+00,1.802421778857023682e+01
-3.728508507991018182e-34,-3.956501375118244290e+00,1.804622342072097396e+01
-3.732068981396265780e-34,-5.955287715176769581e+00,1.807378305067571844e+01
-3.256657598308508598e-34,-7.976406012013502078e+00,1.810067174010098157e+01
-3.647914355486141508e-34,-1.000115852085116686e+01,1.811376483409254234e+01
-4.140170455161462823e-34,-1.203021800773912453e+01,1.810127041490597222e+01
-3.490619130645494065e-34,-1.404509278839995190e+01,1.807612092143567395e+01
-3.996994862294068191e-34,-1.604471312790300885e+01,1.804842798025464745e+01
-3.567783562571695999e-34,-1.802838412578683247e+01,1.802621746604990705e+01
-3.798069930503229622e-34,-1.945124309161499809e+00,1.604194431577470326e+01
-3.562448512889764653e-34,-3.898433364315663230e+00,1.607620344536791279e+01
-3.709437838248766665e-34,-5.890459575227006361e+00,1.612142358817736465e+01
