fx,fy,fz
4.473427505475132193e+01,2.235597920767506253e+01,-2.234942266313993287e+01
2.232021663895178420e+01,-4.465869088250376251e+01,-4.471858672409837965e+01
4.480017824749745614e+01,-2.227068832489162631e+01,4.468101569880133184e+01
2.234317457007566787e+01,4.478029458279989683e+01,2.235946368016652031e+01
-4.473279328510388098e+01,-2.235431181795434696e+01,-2.232419674160050249e+01
-2.233245641031735573e+01,-4.474712492218545634e+01,2.233801083410604349e+01
-4.468742452892504247e+01,2.230341064405718754e+01,4.472391708869292870e+01
-2.230192645446022226e+01,4.470832695713075822e+01,-4.465134995883384761e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.684538062712758233e+01,0.000000000000000000e+00,-6.694429500493481555e+01
6.625787331581511808e+01,0.000000000000000000e+00,-6.648702326925041461e+01
6.549429052970033638e+01,0.000000000000000000e+00,-6.591434712190326195e+01
6.505418298274446443e+01,0.000000000000000000e+00,-6.545696320023770909e+01
6.505782464880195448e+01,0.000000000000000000e+00,-6.511260714462369492e+01
6.539839761282944153e+01,0.000000000000000000e+00,-6.517698678298880566e+01
6.569874977195898680e+01,0.000000000000000000e+00,-6.548209959631255117e+01
6.656918952603879802e+01,0.000000000000000000e+00,-6.653402151970183809e+01
6.696764161437168639e+01,0.000000000000000000e+00,-6.687925798317790793e+01
6.690383469950103290e+01,-6.674993831648681919e+01,0.000000000000000000e+00
6.647794640578800340e+01,-6.630171790288113698e+01,0.000000000000000000e+00
6.587930589455294239e+01,-6.560003785688506639e+01,0.000000000000000000e+00
6.517415872847483627e+01,-6.509681816786617503e+01,0.000000000000000000e+00
6.500986451941940913e+01,-6.506934908246786620e+01,0.000000000000000000e+00
6.522449853941085962e+01,-6.530802146708684575e+01,0.000000000000000000e+00
6.559040434977322320e+01,-6.597218317693761946e+01,0.000000000000000000e+00
6.635630065763587027e+01,-6.647715488328400113e+01,0.000000000000000000e+00
6.687278502724286966e+01,-6.681474335920611907e+01,0.000000000000000000e+00
6.690275860199172087e+01,0.000000000000000000e+00,6.686104781479954795e+01
6.632244301269741982e+01,0.000000000000000000e+00,6.635944144668944489e+01
6.573976935730389926e+01,0.000000000000000000e+00,6.570228567905856210e+01
6.519041668822869440e+01,0.000000000000000000e+00,6.505022669182594086e+01
6.500398635672786440e+01,0.000000000000000000e+00,6.518026222036500883e+01
6.525087071713267051e+01,0.000000000000000000e+00,6.533723327477802911e+01
6.586091336036608368e+01,0.000000000000000000e+00,6.591137359369386672e+01
6.648930317920410005e+01,0.000000000000000000e+00,6.644293132713309546e+01
6.694003034381162820e+01,0.000000000000000000e+00,6.684345056983255517e+01
6.696231280677594100e+01,6.685872553802003893e+01,0.000000000000000000e+00
6.648647565287501493e+01,6.630840650179061413e+01,0.000000000000000000e+00
6.588162351304538333e+01,6.569255845924989501e+01,0.000000000000000000e+00
6.535290517085738315e+01,6.511851625031120250e+01,0.000000000000000000e+00
6.504154138555600184e+01,6.510899395915859600e+01,0.000000000000000000e+00
6.518610612868639009e+01,6.534824871936601198e+01,0.000000000000000000e+00
6.571778281553768863e+01,6.606453818947117895e+01,0.000000000000000000e+00
6.635933378160514451e+01,6.664189702323344022e+01,0.000000000000000000e+00
6.677416977999550340e+01,6.700391818885121609e+01,0.000000000000000000e+00
0.000000000000000000e+00,-6.677861295964088129e+01,-6.681771431523830529e+01
0.000000000000000000e+00,-6.626763902359441261e+01,-6.634375220901537773e+01
0.000000000000000000e+00,-6.571470148565006753e+01,-6.564030360884213167e+01
0.000000000000000000e+00,-6.523025940899711372e+01,-6.525443853914367764e+01
0.000000000000000000e+00,-6.487369956217047218e+01,-6.503980534997896257e+01
0.000000000000000000e+00,-6.533094646865808386e+01,-6.515942614875899608e+01
0.000000000000000000e+00,-6.592211422141876653e+01,-6.587379184000194243e+01
0.000000000000000000e+00,-6.650020786454022925e+01,-6.633677506361641463e+01
0.000000000000000000e+00,-6.691257841399129802e+01,-6.677796757004902872e+01
-6.671888718602916413e+01,-6.695493786431350713e+01,0.000000000000000000e+00
-6.613913443123053071e+01,-6.658814542688926963e+01,0.000000000000000000e+00
-6.552251573871694745e+01,-6.561197082679488801e+01,0.000000000000000000e+00
-6.536238409911501890e+01,-6.541256182739797964e+01,0.000000000000000000e+00
-6.502159873136396584e+01,-6.500609698199809827e+01,0.000000000000000000e+00
-6.527208317879735944e+01,-6.520653998232828030e+01,0.000000000000000000e+00
-6.567433619679994194e+01,-6.572051895995717530e+01,0.000000000000000000e+00
-6.652164175043905914e+01,-6.623029434568765339e+01,0.000000000000000000e+00
-6.685534491062884399e+01,-6.677623335556995698e+01,0.000000000000000000e+00
0.000000000000000000e+00,-6.681028789309650051e+01,6.688793185073031111e+01
