ux,uy,uz
7.868402622398957659e-35,5.082820961922044591e-35,2.000000000000000000e+01
5.071619879950977516e-35,2.000000000000000000e+01,2.000000000000000000e+01
6.825663738896473573e-35,2.000000000000000000e+01,9.085243705618050760e-35
6.841030126626209335e-35,7.360030062621184913e-35,2.269844922983710732e-35
2.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01
2.000000000000000000e+01,2.000000000000000000e+01,1.784091000578646752e-35
2.000000000000000000e+01,5.068308511735529481e-35,8.363503838470902649e-35
2.000000000000000000e+01,7.615834971395009278e-35,2.000000000000000000e+01
1.011431099064683714e+01,2.358855771879660779e+00,1.001331765529614337e+01
1.005167920009759364e+01,1.770321894314153965e+01,9.927474263958806944e+00
1.348400506460897416e-34,1.927309328658322052e+00,2.000000000000000000e+01
1.335532284794177095e-34,3.877963507061426895e+00,2.000000000000000000e+01
1.484448079314835801e-34,5.874128864805401307e+00,2.000000000000000000e+01
1.145189909402895398e-34,7.923405302038145415e+00,2.000000000000000000e+01
1.249432494987267685e-34,1.000528171481752437e+01,2.000000000000000000e+01
1.308834712455211502e-34,1.208314423427677298e+01,2.000000000000000000e+01
1.315346736051232944e-34,1.412766080873353580e+01,2.000000000000000000e+01
1.512757854431480539e-34,1.612851267426610846e+01,2.000000000000000000e+01
1.263905496084549105e-34,1.807677990377596799e+01,2.000000000000000000e+01
1.368521383339269119e-34,2.000000000000000000e+01,1.807436339514011081e+01
1.509545458849856476e-34,2.000000000000000000e+01,1.612441844287197057e+01
1.206582900270014424e-34,2.000000000000000000e+01,1.412902088166230818e+01
1.454841060573811709e-34,2.000000000000000000e+01,1.208015971758766582e+01
1.306771620606749289e-34,2.000000000000000000e+01,9.998249587162534979e+00
1.485816354878559594e-34,2.000000000000000000e+01,7.919314023812175307e+00
1.321441489466740992e-34,2.000000000000000000e+01,5.871843134545843945e+00
1.592727101918790105e-34,2.000000000000000000e+01,3.877561425653497817e+00
1.271375236991505273e-34,2.000000000000000000e+01,1.925280368190360747e+00
1.344256326480646098e-34,1.807686066598372676e+01,1.204205551852100957e-34
1.338474516517637547e-34,1.612430047119590881e+01,1.169607551358143816e-34
1.297794911468541004e-34,1.412349760262021903e+01,1.175193138829972432e-34
1.233336186778517713e-34,1.207326564885407194e+01,1.226974528848841052e-34
1.255511823667330187e-34,9.990540636865008040e+00,1.250870762944115780e-34
1.323406189841351443e-34,7.911666328568722761e+00,1.143775012565843314e-34
1.299926791545173313e-34,5.867444280747315943e+00,1.281780569023158880e-34
1.211037081248435540e-34,3.875051713036930856e+00,1.259909674097277473e-34
1.510921985125113312e-34,1.927112717960287158e+00,1.260512552896574924e-34
1.371360913724317075e-34,1.286659145026320998e-34,1.924919635718229882e+00
1.261499552856406708e-34,1.504666847129986810e-34,3.876320497073194815e+00
1.602158472493849462e-34,1.144397430177938445e-34,5.872526926893596233e+00
1.216604805832615949e-34,1.475491748928510719e-34,7.918708256305869497e+00
1.317639263781782937e-34,1.134064222840462615e-34,1.000074833993281587e+01
1.320275322918695467e-34,1.138606218623692349e-34,1.208143679348239274e+01
1.331960035047070247e-34,1.152751068134055309e-34,1.412965776450400490e+01
1.347489983186049072e-34,1.169006745347850965e-34,1.612341218429372702e+01
1.474700685403571833e-34,1.251507113322782251e-34,1.807470491990999051e+01
1.924903992536221242e+00,2.000000000000000000e+01,2.000000000000000000e+01
3.878263524794958617e+00,2.000000000000000000e+01,2.000000000000000000e+01
5.876742363649415601e+00,2.000000000000000000e+01,2.000000000000000000e+01
7.927129249058170402e+00,2.000000000000000000e+01,2.000000000000000000e+01
1.000639710593104859e+01,2.000000000000000000e+01,2.000000000000000000e+01
1.208570516753911228e+01,2.000000000000000000e+01,2.000000000000000000e+01
1.413143879282600679e+01,2.000000000000000000e+01,2.000000000000000000e+01
1.612383225517105600e+01,2.000000000000000000e+01,2.000000000000000000e+01
1.807460550719617132e+01,2.000000000000000000e+01,2.000000000000000000e+01
2.000000000000000000e+01,2.000000000000000000e+01,1.807649183966401552e+01
2.000000000000000000e+01,2.000000000000000000e+01,1.612582547203330918e+01
2.000000000000000000e+01,2.000000000000000000e+01,1.412458527138620568e+01
2.000000000000000000e+01,2.000000000000000000e+01,1.208051706324746100e+01
2.000000000000000000e+01,2.000000000000000000e+01,1.000160047975323785e+01
2.000000000000000000e+01,2.000000000000000000e+01,7.921678350599539620e+00
2.000000000000000000e+01,2.000000000000000000e+01,5.873201363364700001e+00
2.000000000000000000e+01,2.000000000000000000e+01,3.873417083184472975e+00
2.000000000000000000e+01,2.000000000000000000e+01,1.924763788673229836e+00
1.807531643847319813e+01,2.000000000000000000e+01,1.171865357567676870e-34
1.612567332152886834e+01,2.000000000000000000e+01,1.509139541759526744e-34
1.412885021273485009e+01,2.000000000000000000e+01,1.187703503194967988e-34
1.208268224680786318e+01,2.000000000000000000e+01,1.481082794504267125e-34
1.000378193627109091e+01,2.000000000000000000e+01,1.132615209426372043e-34
7.920961484540842257e+00,2.000000000000000000e+01,1.133697828855663654e-34
5.874608991402376468e+00,2.000000000000000000e+01,1.575934761909612490e-34
3.877887788794716961e+00,2.000000000000000000e+01,1.502197134132265872e-34
1.931140060004037151e+00,2.000000000000000000e+01,1.253124246124132997e-34
1.807455204009580996e+01,1.518422894116397034e-34,1.179871567937271017e-34
1.612056672525638490e+01,1.171721949618123769e-34,1.670871942163241466e-34
1.412672962960026446e+01,1.490130321938310693e-34,1.165433338256280564e-34
1.207877291982987877e+01,1.304984883268136741e-34,1.479442456013592964e-34
1.000477814588127679e+01,1.235927640643643870e-34,1.292924125814863958e-34
7.924037672735199322e+00,1.315475524498171284e-34,1.146183352481216223e-34
5.874641351628800301e+00,1.319993458972535819e-34,1.494104108281788032e-34
