sxx,syy,szz,sxy,sxz,syz,smises
3.385437607445317409e-01,9.288314167992747228e-01,8.175016267385428748e-01,8.097667388667446897e-02,-1.616010959200225028e-01,2.918520578352046951e-02,6.290381550788879395e-01
2.981272364373728223e-01,8.520388406903327549e-01,9.195302715088302659e-01,1.321998828789454176e-02,-9.961633753290299875e-02,-6.526082254711953676e-03,6.157757639884948730e-01
4.665823511183400663e-01,8.697030533625232929e-01,8.666148557762519689e-01,2.795711647017109364e-03,-9.785193428515487346e-02,-3.366937796788508405e-03,4.359511137008666992e-01
3.534809713922290597e-01,1.064866812422576192e+00,9.455340836159995543e-01,7.456625545101357166e-02,-1.395225371923958235e-01,-7.479111797841858644e-02,7.261402010917663574e-01
4.511854622642643697e-01,8.489483607351251404e-01,7.494644246653889841e-01,3.102380238216605884e-02,-2.782162536093912286e-01,5.015241830510995535e-02,6.092515587806701660e-01
4.587939886163929226e-01,1.090158165315425531e+00,8.018565161235990946e-01,-4.377748854491479193e-03,-2.770339116742378538e-01,1.121236030411491558e-01,7.534794211387634277e-01
7.935011396837434727e-01,6.868246839023521844e-01,7.445021842636199150e-01,-4.786080491994960245e-02,-3.513112216803385146e-02,-6.085135894898455189e-02,1.738877445459365845e-01
7.676398680623420789e-01,6.657676638899637789e-01,7.225800248151874605e-01,-3.548324614341494959e-02,-1.992609645725518935e-02,-7.326777441960277693e-02,1.699730008840560913e-01
7.947814708283615914e-01,6.670212588173396462e-01,7.421100223988063016e-01,-1.004041474323211745e-02,-9.097784329196046543e-03,-3.045412491021367435e-02,1.253025829792022705e-01
7.985478156704688413e-01,6.660079805071023040e-01,6.828451454613749805e-01,-1.588825945368526130e-02,-6.202538154862787152e-03,-5.454450875062232668e-02,1.594262719154357910e-01
7.726469144388100618e-01,6.623457747212356805e-01,6.851065345029508924e-01,-1.289860386407317046e-02,-8.859412994617569398e-03,-5.221288908253812755e-02,1.381557136774063110e-01
7.636308283479303904e-01,6.935510102189604842e-01,6.895743173036125162e-01,-2.071881194096985429e-02,-8.907991968910421166e-03,-2.810256888549743370e-02,9.539815783500671387e-02
7.556427004408473591e-01,6.493157174939557796e-01,6.905773811311871624e-01,-7.526003141377128614e-03,-1.343486183736865465e-02,-2.406432042213504929e-02,1.052112504839897156e-01
7.026613553151261904e-01,6.554049113504534230e-01,7.364881149528186288e-01,4.170302233428983818e-02,2.715649361195731845e-02,-3.014350972673823792e-02,1.230109706521034241e-01
