ux,uy,uz
7.017413438132270231e-35,-3.599928700846346298e-36,1.714912490977273461e-36
4.548198083307584661e-35,5.583712347830688297e-36,6.308825661710040619e-36
6.102684962351524584e-35,3.780364998222527715e-36,-6.477115281655939480e-36
6.113932229640275530e-35,-5.257527330735755573e-36,-1.789618488279240399e-36
2.000000000000000000e+01,1.290080338348120009e-36,3.611705880030562286e-36
2.000000000000000000e+01,4.886764306670943046e-36,-1.409160924499978209e-36
2.000000000000000000e+01,-3.742662188699454088e-36,-5.945073636895037290e-36
2.000000000000000000e+01,-5.637985148251842908e-36,7.410010992314424120e-36
1.010942306158971249e+01,6.336285982616179924e-01,1.504652631345876866e-02
1.006749213064095727e+01,-6.275278495891903896e-01,9.611241713350211768e-03
1.205300920764149285e-34,-2.755357311565575021e-02,8.697987971614862783e-36
1.192643177123378338e-34,-4.871416688262870248e-02,9.419490259186171040e-36
1.323252802313580242e-34,-5.285191329065688781e-02,1.170908694963738468e-35
1.014446301989663933e-34,-3.509858850636855820e-02,1.453611119354144994e-35
1.104562972616491680e-34,-2.667653872885557970e-03,1.158137437319069308e-35
1.158493319917697083e-34,3.098927927796393811e-02,1.193259200679858282e-35
1.166817989311746635e-34,4.749802982562280340e-02,1.073754788619553230e-35
1.348474572166632915e-34,4.927613626819150883e-02,1.247714831520917001e-35
1.130154099820327013e-34,2.953409974393580995e-02,1.064270914063216413e-35
1.223523663881037026e-34,9.428977566482836164e-36,2.956779947926998706e-02
1.346405576203816093e-34,1.084211978616679692e-35,4.929651759853118792e-02
1.073905152290393330e-34,1.190445858211738858e-35,5.115184390179764590e-02
1.287202620880310821e-34,1.140812051832889253e-35,3.177022321310806613e-02
1.154718142401075547e-34,1.539375128612024700e-35,-1.263134103799581518e-03
1.315584979540451006e-34,1.158482178272960365e-35,-3.372543296814919239e-02
1.175638582285339633e-34,1.350266857992333789e-35,-5.204925481735550585e-02
1.420743646285140695e-34,9.462846040475047264e-36,-4.791905454866891845e-02
1.135653994631996368e-34,1.117012210574668455e-35,-2.733272610648855919e-02
1.199852032257175355e-34,3.021953425415664987e-02,-9.101974823710211711e-36
1.191845134475085841e-34,4.855698203919909389e-02,-9.567949860800479032e-36
1.151144237541193274e-34,4.967330611276458280e-02,-1.086924166689150633e-35
1.091576022350702683e-34,2.989263678462858800e-02,-1.233172631992151679e-35
1.108863018180125799e-34,-3.155989337719598917e-03,-1.283607819779909496e-35
1.169401601862046039e-34,-3.460637728711127292e-02,-1.135219781135899707e-35
1.157998054122322420e-34,-5.136579318780205849e-02,-1.160760929225844134e-35
1.080887989520198411e-34,-4.775900908407917228e-02,-1.038382068843135156e-35
1.348716547936630541e-34,-2.732689204323420634e-02,-9.471036648973714834e-36
1.224389945088672637e-34,-9.579127980268279416e-36,-3.004755656154176405e-02
1.126729001547603269e-34,-1.235975660514434766e-35,-4.942905899135811160e-02
1.421416480126443882e-34,-1.061174505111564356e-35,-5.101134236656111598e-02
1.077507753538230070e-34,-1.493880752477279993e-35,-3.133900482770735074e-02
1.163040011932095199e-34,-1.182123722041159153e-35,1.228625370010391149e-03
1.167436200459085436e-34,-1.129067786991922341e-35,3.377816332124560644e-02
1.182195524595875539e-34,-1.026502608568912928e-35,4.993208383876050066e-02
1.200573796778944612e-34,-9.351968134438999467e-36,4.620592112766697818e-02
1.317608350951990878e-34,-9.273110761644782615e-36,2.707267547750375966e-02
2.007644623205531609e+00,1.025052517173035111e-35,8.952027492485889528e-36
4.014191772216326726e+00,7.582834779131299200e-36,8.944387909051272554e-36
6.019721844138146594e+00,5.601463327346190501e-36,4.590601287276656816e-36
8.014574914731609212e+00,3.187739075108282593e-36,3.034445831049098886e-36
1.000038443027912827e+01,2.451551749100333402e-36,2.661218802239492911e-36
1.198850987861040451e+01,3.898030707118170689e-36,3.146291836840938545e-36
1.398609383201112344e+01,6.091955614759151727e-36,7.180419959854573300e-36
1.599145717702704417e+01,9.239305231164125367e-36,7.970574824088700563e-36
1.799787897802167436e+01,1.172924085178537358e-35,8.274007371216859750e-36
