fx,fy,fz
-2.096574581189653941e+01,2.278715967316404090e+01,-2.274969221652432338e+01
-1.059579777101397369e+01,-4.566405916035100176e+01,-4.569068381241623911e+01
-2.101772814784927235e+01,-2.286443377121699783e+01,4.553131962333775107e+01
-1.055709831576744939e+01,4.559879943983675332e+01,2.290321404665231242e+01
2.088085772475469781e+01,-2.279885869873124804e+01,-2.276079796658073207e+01
1.052614549812665423e+01,-4.554759911478053880e+01,2.288347386242816839e+01
2.097284632216816291e+01,2.284593572394703997e+01,4.555020551428457765e+01
1.057315342350150900e+01,4.566674763790042846e+01,-4.568839226663922659e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.138696656819170983e+01,0.000000000000000000e+00,-6.835377765403778483e+01
-3.091267855155220090e+01,0.000000000000000000e+00,-6.832812321767461583e+01
-3.026284274241288585e+01,0.000000000000000000e+00,-6.823109196706181478e+01
-2.974215284278583482e+01,0.000000000000000000e+00,-6.821225238181828843e+01
-2.960946903487403858e+01,0.000000000000000000e+00,-6.820017993008228530e+01
-2.992133975222472841e+01,0.000000000000000000e+00,-6.830565991206697163e+01
-3.016830520542387717e+01,0.000000000000000000e+00,-6.797968899324146719e+01
-3.118403846270443580e+01,0.000000000000000000e+00,-6.830996863622361559e+01
-3.142735563172458768e+01,0.000000000000000000e+00,-6.825078001036001751e+01
-3.144359313305059800e+01,-6.825245055653626025e+01,0.000000000000000000e+00
-3.107154038139678320e+01,-6.815396484194263849e+01,0.000000000000000000e+00
-3.042653513851115576e+01,-6.791611101914855908e+01,0.000000000000000000e+00
-2.965674690641115419e+01,-6.780834575991246993e+01,0.000000000000000000e+00
-2.940170691930502045e+01,-6.809589265606634001e+01,0.000000000000000000e+00
-2.971838778308155682e+01,-6.818482124513252529e+01,0.000000000000000000e+00
-3.030523517581082871e+01,-6.838605471601445629e+01,0.000000000000000000e+00
-3.089861400748571185e+01,-6.834621330238566372e+01,0.000000000000000000e+00
-3.135185624629494328e+01,-6.828828943723850387e+01,0.000000000000000000e+00
-3.130351004888963473e+01,0.000000000000000000e+00,6.832743411403151867e+01
-3.078178435969675775e+01,0.000000000000000000e+00,6.805943228058582406e+01
-3.020297338765471196e+01,0.000000000000000000e+00,6.797897968740439012e+01
-2.982976431942697459e+01,0.000000000000000000e+00,6.784534179216019822e+01
-2.950920104840658453e+01,0.000000000000000000e+00,6.810003659861050096e+01
-2.965030923916999939e+01,0.000000000000000000e+00,6.807753941774389261e+01
-3.057161910248127512e+01,0.000000000000000000e+00,6.837606149764016550e+01
-3.101811802475195989e+01,0.000000000000000000e+00,6.843242279944195161e+01
-3.137047444894913184e+01,0.000000000000000000e+00,6.843151332295572331e+01
-3.139392774166362443e+01,6.825589210332056211e+01,0.000000000000000000e+00
-3.105319132173994845e+01,6.814940242081677013e+01,0.000000000000000000e+00
-3.039739101272810373e+01,6.807959377451514627e+01,0.000000000000000000e+00
-2.976007900312178478e+01,6.797577397938179899e+01,0.000000000000000000e+00
-2.946802076793337477e+01,6.806554345499840508e+01,0.000000000000000000e+00
-2.961684631534533452e+01,6.806081695751804261e+01,0.000000000000000000e+00
-3.020827796195991155e+01,6.822515452999597585e+01,0.000000000000000000e+00
-3.084743529017274000e+01,6.839041194970390336e+01,0.000000000000000000e+00
-3.128835672827231917e+01,6.846287772663049509e+01,0.000000000000000000e+00
0.000000000000000000e+00,-6.796109649581794088e+01,-6.805183395648653288e+01
0.000000000000000000e+00,-6.706031066566282561e+01,-6.711727958459471211e+01
0.000000000000000000e+00,-6.524625025808782652e+01,-6.511002404574240643e+01
0.000000000000000000e+00,-6.365439721258006500e+01,-6.370890371065817703e+01
0.000000000000000000e+00,-6.292997997699471568e+01,-6.322009759039072918e+01
0.000000000000000000e+00,-6.396624289823175502e+01,-6.364079729631869498e+01
0.000000000000000000e+00,-6.592192950227325809e+01,-6.578536869759899730e+01
0.000000000000000000e+00,-6.705646205965952333e+01,-6.702031445920101760e+01
0.000000000000000000e+00,-6.815494422143125064e+01,-6.804282084795980268e+01
3.118952379700773392e+01,-6.835276803477529484e+01,0.000000000000000000e+00
3.090987631094728627e+01,-6.838569751293587728e+01,0.000000000000000000e+00
3.022772374446412158e+01,-6.796387669936386544e+01,0.000000000000000000e+00
2.972940425267589504e+01,-6.806321117524284148e+01,0.000000000000000000e+00
2.932307453056889557e+01,-6.783917891933730004e+01,0.000000000000000000e+00
2.969808124844576369e+01,-6.796926343925034075e+01,0.000000000000000000e+00
3.030285612879907120e+01,-6.799194630361803604e+01,0.000000000000000000e+00
3.104317117050621277e+01,-6.812499269730083995e+01,0.000000000000000000e+00
3.140111526085996729e+01,-6.831115865740665072e+01,0.000000000000000000e+00
0.000000000000000000e+00,-6.800643714449765298e+01,6.825411609005378466e+01
0.000000000000000000e+00,-6.686704897463505404e+01,6.720804415640773755e+01
0.000000000000000000e+00,-6.523573891075224651e+01,6.567715037658996380e+01
0.000000000000000000e+00,-6.380185461615025133e+01,6.402477383719278237e+01
0.000000000000000000e+00,-6.322591183896362566e+01,6.321220516009545065e+01
0.000000000000000000e+00,-6.413800992633990461e+01,6.358967098879249846e+01
0.000000000000000000e+00,-6.563307369747009545e+01,6.516882122356214779e+01
0.000000000000000000e+00,-6.691445244702462958e+01,6.674429060639521083e+01
0.000000000000000000e+00,-6.827730094738731736e+01,6.816331353168116891e+01
0.000000000000000000e+00,6.810407670664258717e+01,6.794733324851564760e+01
0.000000000000000000e+00,6.711841416470427646e+01,6.697459424069532474e+01
0.000000000000000000e+00,6.560729385307514860e+01,6.506206770537910700e+01
0.000000000000000000e+00,6.398933313007187706e+01,6.377496075612162940e+01
0.000000000000000000e+00,6.334276851825917731e+01,6.296510049217675942e+01
0.000000000000000000e+00,6.362976928074861860e+01,6.396013703128722483e+01
0.000000000000000000e+00,6.536737783745495278e+01,6.554886358282007564e+01
0.000000000000000000e+00,6.705287188271468324e+01,6.719433802150021506e+01
0.000000000000000000e+00,6.798299722412099300e+01,6.822486586772679118e+01
3.129267752706856953e+01,0.000000000000000000e+00,6.835740339548927125e+01
3.099067973499215611e+01,0.000000000000000000e+00,6.830596008945225606e+01
3.047482115609278708e+01,0.000000000000000000e+00,6.822859015604207400e+01
2.973736236050175563e+01,0.000000000000000000e+00,6.817325453864403073e+01
2.929442279443258457e+01,0.000000000000000000e+00,6.809266744991965936e+01
2.948755807254275751e+01,0.000000000000000000e+00,6.798861164631486531e+01
3.015931196725639296e+01,0.000000000000000000e+00,6.786599892341121176e+01
3.074369966891624983e+01,0.000000000000000000e+00,6.815949275683537678e+01
3.129800272281377005e+01,0.000000000000000000e+00,6.821743579157559623e+01
0.000000000000000000e+00,6.829333223367804351e+01,-6.825896922977676695e+01
0.000000000000000000e+00,6.700221876135852028e+01,-6.687527923849754075e+01
0.000000000000000000e+00,6.545905544572683255e+01,-6.521433354564230456e+01
0.000000000000000000e+00,6.382048920634191091e+01,-6.378958090751475396e+01
0.000000000000000000e+00,6.309977538257622598e+01,-6.326733896693284009e+01
0.000000000000000000e+00,6.406586592541259506e+01,-6.407099898210061895e+01
0.000000000000000000e+00,6.545992803451082409e+01,-6.556505395247333468e+01
0.000000000000000000e+00,6.702727152130154309e+01,-6.695690285980259659e+01
0.000000000000000000e+00,6.822509619663773606e+01,-6.812740667635078751e+01
3.130010316597307707e+01,6.833887980314656829e+01,0.000000000000000000e+00
3.092940979388291112e+01,6.851649222622296520e+01,0.000000000000000000e+00
3.019151730500970743e+01,6.834340211535406695e+01,0.000000000000000000e+00
2.960637992439469102e+01,6.809318666755473259e+01,0.000000000000000000e+00
2.944183062703583431e+01,6.799668817312829106e+01,0.000000000000000000e+00
2.979168367252932370e+01,6.798507504630465803e+01,0.000000000000000000e+00
3.035551259121414347e+01,6.802105244552866736e+01,0.000000000000000000e+00
3.102336118526517339e+01,6.813018045905282349e+01,0.000000000000000000e+00
3.136503436648307286e+01,6.823106977840822651e+01,0.000000000000000000e+00
3.138179601547169995e+01,0.000000000000000000e+00,-6.827116223557462149e+01
3.103933149482237752e+01,0.000000000000000000e+00,-6.815502575127558771e+01
3.034104486575929371e+01,0.000000000000000000e+00,-6.804032710167244602e+01
2.967108430373864181e+01,0.000000000000000000e+00,-6.795013472610466465e+01
2.941277709881298819e+01,0.000000000000000000e+00,-6.810746033140772226e+01
2.943724998561718564e+01,0.000000000000000000e+00,-6.828254832632369187e+01
3.036378156694244623e+01,0.000000000000000000e+00,-6.825861275664095729e+01
3.081251995557063950e+01,0.000000000000000000e+00,-6.822351230494899710e+01
3.128323900525710144e+01,0.000000000000000000e+00,-6.836260582944677822e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.225209865337303228e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.082360444589862425e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.921852985913358225e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.776688541640611874e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.675879963998600886e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.827933596310289488e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.971144970208725056e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.098413205240544244e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.234766735126324022e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.125623715116581280e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.869858108055827017e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.698896089750767402e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.103614370111257159e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.800130105899776822e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.055733672681619595e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.742112839108887812e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.878862028318890509e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.134521756595352571e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.968732914124291256e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.449944427067520536e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.500426601936171522e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.075736267426006521e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.899575226009641682e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.851037050701518893e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.004700189304590907e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.516555817674831985e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.965037755418266840e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.778481103469201230e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.065045875845009249e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.077886266169270613e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.838349260010138408e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.307133033407652078e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.848427565340725565e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.831120493403336980e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.195926525713411337e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.760936924027163286e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.690433649955794237e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.923204158117361118e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.619778006643397106e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.174536944277953054e+01,0.000000000000000000e+00,0.000000000000000000e+00
-1.381456594269205773e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.338405365053923646e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.644306080176691864e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.867988230132197458e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.728509319630134655e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.778549942941081952e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.184455928812098335e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.061385954516730834e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.627570596075874576e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.229175356203781888e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.687122813973051905e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.976246444598046281e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.037647598343722422e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.726769061836696295e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.944049249250084443e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.529444346190142312e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.911184031294209262e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.250088705270434986e+01,0.000000000000000000e+00,0.000000000000000000e+00
-3.595464540348014282e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.135437471008540911e+01,0.000000000000000000e+00,0.000000000000000000e+00
-4.773170751430922110e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.583941766312626953e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.958650959327282948e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.120483448268848292e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.945900347613938663e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.486504759508485307e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.145779275929390195e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.011155478896905180e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.041145716208075811e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.490033221857824230e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.834055670819841311e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.094881711767207122e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.236810123359872193e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.131195819060773999e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.954137922587864296e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.809974416309200507e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.740343230652179329e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.799697508486754316e+01,0.000000000000000000e+00,0.000000000000000000e+00
-5.924260031816378103e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.110581247043027275e+01,0.000000000000000000e+00,0.000000000000000000e+00
-6.215691086009950794e+01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-1.355385745374043154e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.332990620546203218e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.288566340749300991e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.254036136572096467e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.238605837293373639e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.255643271869685975e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.294065339644999142e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.338531797071875928e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.358248257319061736e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.351544235637106794e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.307575587758671816e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.273319985341909728e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.163994288965714361e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.141858370327472869e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.206546585695805192e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.251184886862890551e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.309500730989684882e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.350107750991250271e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.348383958211206846e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.283107117054890693e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.177627860521948833e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.074690951417796185e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.024528553455118072e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.082626976075463006e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.207652295604789003e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.287052600900129278e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.347419606988295584e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.335940085653655842e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.264180227383259592e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.121700427110857845e+02,0.000000000000000000e+00
0.000000000000000000e+00,-9.754403207986871394e+01,0.000000000000000000e+00
0.000000000000000000e+00,-8.911659037818161266e+01,0.000000000000000000e+00
0.000000000000000000e+00,-1.001938448438022391e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.118664106636215223e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.284986945967173426e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.340093747262623367e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.341786645173433499e+02,0.000000000000000000e+00
0.000000000000000000e+00,-1.281987389812153992e+02,0.000000000000000000e+00
