ux,uy,uz
-5.082293666392495166e-35,-3.281388150387317949e-35,-2.000000000000000000e+01
-3.272291665064140432e-35,-2.000000000000000000e+01,-2.000000000000000000e+01
-4.409959113620458545e-35,-2.000000000000000000e+01,-5.865132777926210132e-35
-4.416344299475476124e-35,-4.754956373467121883e-35,-1.464740000620208140e-35
-2.000000000000000000e+01,-2.000000000000000000e+01,-2.000000000000000000e+01
-2.000000000000000000e+01,-2.000000000000000000e+01,-1.146661697566274616e-35
-2.000000000000000000e+01,-3.274926613377591218e-35,-5.401175844366376444e-35
-2.000000000000000000e+01,-4.921037527001854769e-35,-2.000000000000000000e+01
-1.028954065680696139e+01,2.697684309225493182e-01,-1.001563871234062653e+01
-1.011761187012027285e+01,-2.052176867241590941e+01,-9.905195335579684013e+00
-8.713060849181425422e-35,-1.882297491845066117e+00,-2.000000000000000000e+01
-8.637228320532377211e-35,-3.800735799906151513e+00,-2.000000000000000000e+01
-9.609807194063231748e-35,-5.797514615800928084e+00,-2.000000000000000000e+01
-7.440400040096653627e-35,-7.878204557434560051e+00,-2.000000000000000000e+01
-8.108578545705802858e-35,-1.000941397702013802e+01,-2.000000000000000000e+01
-8.497042429988341839e-35,-1.213642310056222406e+01,-2.000000000000000000e+01
-8.528642462567810364e-35,-1.420234948404356778e+01,-2.000000000000000000e+01
-9.769448278864213003e-35,-1.621113444815959070e+01,-2.000000000000000000e+01
-8.164099394172669509e-35,-1.812519310152873686e+01,-2.000000000000000000e+01
-8.836959023780182633e-35,-2.000000000000000000e+01,-1.811928171866307835e+01
-9.754020659646922687e-35,-2.000000000000000000e+01,-1.620168305635460371e+01
-7.814353842320131590e-35,-2.000000000000000000e+01,-1.420680581311678736e+01
-9.442631639184412275e-35,-2.000000000000000000e+01,-1.212239454443768061e+01
-8.496610313333517482e-35,-2.000000000000000000e+01,-9.991661751443814410e+00
-9.652241697578559182e-35,-2.000000000000000000e+01,-7.873267287771824385e+00
-8.557359091657814735e-35,-2.000000000000000000e+01,-5.795577961474315920e+00
