fx,fy,fz
-1.291168885719752689e+04,-3.413689151732484106e-01,-1.758451506304510303e-01
9.490519727012269868e-01,1.944776445466787845e+04,-1.378230762058180403e+00
-4.516403372905131164e-01,2.630999097041978985e+00,-1.291189416043568781e+04
1.291168884636233452e+04,2.218072034883476817e+00,1.381944933688146193e-01
-1.162193743209911645e+00,-1.944776445148284984e+04,2.430230580168171173e-01
5.212176110537996010e-01,1.493577807754320474e-01,1.291189415761477903e+04
