fx,fy,fz
-2.854078019689038774e+04,-2.403923738316109393e+00,5.387740835263343797e-01
-2.402351348367062656e+00,-2.853399766329435442e+04,4.592189685817231748e-01
-1.061618526564188869e+00,-3.748484455693414930e-01,-2.854158983131025525e+04
2.854078019687374399e+04,6.610848950529657486e-02,-6.679391524558297988e-01
-9.190369897854395731e-01,2.853399766331580759e+04,1.434374754421128273e-01
3.431679397689322286e-01,-9.932025368429435730e-01,2.854158983130701017e+04
