fx,fy,fz
8.917982958000166605e+00,2.154603525187022228e+01,-2.152358624041168156e+01
4.323097174752788874e+00,-4.311467732760166882e+01,-4.315246824875031706e+01
8.897730798458168167e+00,-2.154289914860802924e+01,4.303943997629313856e+01
4.402730054435558316e+00,4.312953340525552903e+01,2.161936945175384750e+01
-8.967200055820063298e+00,-2.155254304043158697e+01,-2.151336922396848905e+01
-4.407263740719666423e+00,-4.307881341052476643e+01,2.157909874144705853e+01
-8.858929995460957940e+00,2.157759827718488665e+01,4.309001557386820025e+01
-4.321535441535642619e+00,4.316394212847792744e+01,-4.313468213076815516e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.324822112407417229e+01,0.000000000000000000e+00,-6.468199186141704615e+01
1.322369785265519759e+01,0.000000000000000000e+00,-6.482426880245805023e+01
1.332541400701749623e+01,0.000000000000000000e+00,-6.503606811695445344e+01
1.345460798767328647e+01,0.000000000000000000e+00,-6.535649133400170285e+01
1.356975156655625625e+01,0.000000000000000000e+00,-6.543583966293287801e+01
1.351204663672748119e+01,0.000000000000000000e+00,-6.541616459215869384e+01
1.345634056337762985e+01,0.000000000000000000e+00,-6.488251885150953058e+01
1.336976326113862790e+01,0.000000000000000000e+00,-6.500294527153741342e+01
1.328570883818652781e+01,0.000000000000000000e+00,-6.466578411927372372e+01
1.324381972323884504e+01,-6.460401414100962825e+01,0.000000000000000000e+00
1.327574058492542797e+01,-6.479209056191982086e+01,0.000000000000000000e+00
1.339451080462862897e+01,-6.490540568896838636e+01,0.000000000000000000e+00
1.358351471900144425e+01,-6.510073360473481330e+01,0.000000000000000000e+00
1.365797233508617481e+01,-6.535959783267381340e+01,0.000000000000000000e+00
1.353624259562623422e+01,-6.524938883964735226e+01,0.000000000000000000e+00
1.335584414516602081e+01,-6.513013732636878217e+01,0.000000000000000000e+00
1.327868094795683973e+01,-6.480598858459461553e+01,0.000000000000000000e+00
1.325360478084828841e+01,-6.455643168066626458e+01,0.000000000000000000e+00
1.333877591510136540e+01,0.000000000000000000e+00,6.471538490524963549e+01
1.338817654855018269e+01,0.000000000000000000e+00,6.477191977161960779e+01
1.351232495686262602e+01,0.000000000000000000e+00,6.502468342260837630e+01
1.355375676229155424e+01,0.000000000000000000e+00,6.505113716943075985e+01
1.368845968801879565e+01,0.000000000000000000e+00,6.541046354264676665e+01
1.360728719198753289e+01,0.000000000000000000e+00,6.523740981454679400e+01
1.332974559857193775e+01,0.000000000000000000e+00,6.506272688274559357e+01
1.329059094739182534e+01,0.000000000000000000e+00,6.484575393701469181e+01
1.330113018688768634e+01,0.000000000000000000e+00,6.469175284383520363e+01
1.332757275961055576e+01,6.466597416292695755e+01,0.000000000000000000e+00
1.334053050523407968e+01,6.479079932159500288e+01,0.000000000000000000e+00
1.347012207502742243e+01,6.503798819348270399e+01,0.000000000000000000e+00
1.364235682515135295e+01,6.516829233278606637e+01,0.000000000000000000e+00
1.366082651082061261e+01,6.537080882567920526e+01,0.000000000000000000e+00
1.362803038472887529e+01,6.520227545455605878e+01,0.000000000000000000e+00
1.347210201234075022e+01,6.509626398753570697e+01,0.000000000000000000e+00
1.338503700416445241e+01,6.490555080521832565e+01,0.000000000000000000e+00
1.325839392929343674e+01,6.474584096683226164e+01,0.000000000000000000e+00
0.000000000000000000e+00,-6.409106526861248199e+01,-6.415691534570987642e+01
0.000000000000000000e+00,-6.281081249877942696e+01,-6.293727827167192856e+01
0.000000000000000000e+00,-6.099283731512014128e+01,-6.090107329486957610e+01
0.000000000000000000e+00,-5.940993160485086122e+01,-5.947526417127095044e+01
0.000000000000000000e+00,-5.862374824781164762e+01,-5.893358263817796683e+01
0.000000000000000000e+00,-5.979836334416283705e+01,-5.953050595368765130e+01
0.000000000000000000e+00,-6.167471370105942441e+01,-6.157206671519303143e+01
0.000000000000000000e+00,-6.318446731800541016e+01,-6.309147016479273162e+01
0.000000000000000000e+00,-6.439170247826248783e+01,-6.421116683960775617e+01
-1.327662381361718502e+01,-6.469228562146244599e+01,0.000000000000000000e+00
-1.321878907654948421e+01,-6.486893604069645392e+01,0.000000000000000000e+00
-1.330112210483078172e+01,-6.475486444372063488e+01,0.000000000000000000e+00
-1.363534276765507336e+01,-6.517885349690828889e+01,0.000000000000000000e+00
-1.374812818569509787e+01,-6.518901848898529749e+01,0.000000000000000000e+00
-1.364522787518023605e+01,-6.524818801780753574e+01,0.000000000000000000e+00
-1.342064596464595638e+01,-6.506635479268416589e+01,0.000000000000000000e+00
-1.330060658119849748e+01,-6.479820776672232796e+01,0.000000000000000000e+00
-1.325899972583783892e+01,-6.470622205813748451e+01,0.000000000000000000e+00
0.000000000000000000e+00,-6.415416981377059358e+01,6.440193289353292982e+01
0.000000000000000000e+00,-6.285017541822790577e+01,6.326630873488629447e+01
0.000000000000000000e+00,-6.096909487863115373e+01,6.145593628783061035e+01
0.000000000000000000e+00,-5.952831391901590052e+01,5.979157456030295492e+01
0.000000000000000000e+00,-5.892529526862659850e+01,5.897199403569334208e+01
0.000000000000000000e+00,-5.992080354300598799e+01,5.929535908315521198e+01
0.000000000000000000e+00,-6.146547701134003461e+01,6.088364272199748939e+01
0.000000000000000000e+00,-6.297432400284652942e+01,6.270306703436123996e+01
0.000000000000000000e+00,-6.452445127456878993e+01,6.428185724970093418e+01
0.000000000000000000e+00,6.433095017391867998e+01,6.403203186818632275e+01
0.000000000000000000e+00,6.322249551452913607e+01,6.282431939562781054e+01
0.000000000000000000e+00,6.153177835977241017e+01,6.075103860394945343e+01
