fx,fy,fz
2.972439195291044811e+01,2.738092371596403041e+01,-2.737720076465101116e+01
1.464505578859996682e+01,-5.466823062163479818e+01,-5.474260963469368590e+01
2.972018701831347798e+01,-2.727154383195092180e+01,5.465721390892260700e+01
1.477601825948288017e+01,5.481357913361955525e+01,2.743236082086714944e+01
-2.974610907951524297e+01,-2.737448194091484766e+01,-2.731501830098982708e+01
-1.476462520847193183e+01,-5.471626754382072022e+01,2.731879437262121257e+01
-2.960146183972086931e+01,2.738495274561014625e+01,5.475138190977616404e+01
-1.461035439584720486e+01,5.478122267189435490e+01,-5.465854001578671273e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.427969820242871890e+01,0.000000000000000000e+00,-8.217568132728695218e+01
4.389418522534885625e+01,0.000000000000000000e+00,-8.221911505842506074e+01
4.371155682393234088e+01,0.000000000000000000e+00,-8.246183067006356282e+01
4.370712609091508227e+01,0.000000000000000000e+00,-8.294393192325719610e+01
4.387407605974737379e+01,0.000000000000000000e+00,-8.293152741908747316e+01
4.398836579290610160e+01,0.000000000000000000e+00,-8.287783282761020587e+01
4.395958545810368179e+01,0.000000000000000000e+00,-8.216105934943172429e+01
4.438170756387734883e+01,0.000000000000000000e+00,-8.252464994546025423e+01
4.437828245329306753e+01,0.000000000000000000e+00,-8.210244698268328989e+01
4.427963842292308527e+01,-8.197447105160196656e+01,0.000000000000000000e+00
4.410667415218433973e+01,-8.209183680663531391e+01,0.000000000000000000e+00
4.400972737770451459e+01,-8.217652262517415807e+01,0.000000000000000000e+00
4.394344627414841398e+01,-8.243906238883251092e+01,0.000000000000000000e+00
4.397119954727727986e+01,-8.280896739540057183e+01,0.000000000000000000e+00
4.394252991316638202e+01,-8.269728010302426924e+01,0.000000000000000000e+00
4.378336943961635797e+01,-8.246308096661157094e+01,0.000000000000000000e+00
4.404729098729207948e+01,-8.212354773618365300e+01,0.000000000000000000e+00
4.429916149336714426e+01,-8.193706090180162960e+01,0.000000000000000000e+00
4.441245820581518444e+01,0.000000000000000000e+00,8.214185251401016785e+01
4.424299057561804460e+01,0.000000000000000000e+00,8.222378683575863079e+01
4.412837464749816974e+01,0.000000000000000000e+00,8.247022505090407662e+01
4.396463363157774040e+01,0.000000000000000000e+00,8.226092590989392761e+01
4.411880850762295836e+01,0.000000000000000000e+00,8.296081841139580604e+01
4.403903295539355867e+01,0.000000000000000000e+00,8.278518683309414428e+01
4.396678104453309999e+01,0.000000000000000000e+00,8.239558251045592385e+01
4.418047606455461818e+01,0.000000000000000000e+00,8.218964814052942813e+01
4.437642224621997400e+01,0.000000000000000000e+00,8.207000476250289012e+01
4.444909174565036380e+01,8.212234935352016407e+01,0.000000000000000000e+00
4.425579231136006797e+01,8.214452541933427199e+01,0.000000000000000000e+00
4.415031071964564546e+01,8.239448539093740465e+01,0.000000000000000000e+00
4.416987734979441882e+01,8.246972508175258554e+01,0.000000000000000000e+00
4.399742094116421498e+01,8.288856090519564646e+01,0.000000000000000000e+00
4.403515009190446250e+01,8.265465495115535077e+01,0.000000000000000000e+00
4.405884056006373584e+01,8.266577911845047311e+01,0.000000000000000000e+00
4.427703062855187000e+01,8.241096678328642611e+01,0.000000000000000000e+00
4.422542343496017025e+01,8.219116232574037895e+01,0.000000000000000000e+00
0.000000000000000000e+00,-8.140453384952586191e+01,-8.148685695495274217e+01
0.000000000000000000e+00,-7.973962794388705788e+01,-8.003078398900116497e+01
0.000000000000000000e+00,-7.803511754879789919e+01,-7.790424309779854184e+01
0.000000000000000000e+00,-7.631869508901523602e+01,-7.643279056827539364e+01
0.000000000000000000e+00,-7.513996962776036526e+01,-7.566197867809165700e+01
0.000000000000000000e+00,-7.667778499202870535e+01,-7.635652290720048541e+01
0.000000000000000000e+00,-7.859169198004551049e+01,-7.843117337362612318e+01
0.000000000000000000e+00,-8.041663344737247598e+01,-8.021099130485748674e+01
0.000000000000000000e+00,-8.177157348709297935e+01,-8.141383508208906505e+01
-4.418311914642325888e+01,-8.216920836572256803e+01,0.000000000000000000e+00
-4.385643662154448208e+01,-8.225758882286341134e+01,0.000000000000000000e+00
-4.362439029616179909e+01,-8.190729115721119058e+01,0.000000000000000000e+00
-4.416187027073701898e+01,-8.258648298207467064e+01,0.000000000000000000e+00
-4.414525760313322422e+01,-8.265348910513927194e+01,0.000000000000000000e+00
-4.410295684992735232e+01,-8.271003562513615748e+01,0.000000000000000000e+00
-4.393387482961213664e+01,-8.252090501940863021e+01,0.000000000000000000e+00
-4.415494264498445887e+01,-8.217393676459138874e+01,0.000000000000000000e+00
-4.424885347376359590e+01,-8.212464612916416229e+01,0.000000000000000000e+00
0.000000000000000000e+00,-8.150459377600485311e+01,8.167922484260424199e+01
0.000000000000000000e+00,-8.006457914059159009e+01,8.050160478278968412e+01
0.000000000000000000e+00,-7.786340224961453771e+01,7.831469668846784771e+01
0.000000000000000000e+00,-7.647098884666820595e+01,7.666786445839360908e+01
0.000000000000000000e+00,-7.572117070003645267e+01,7.590334154538048494e+01
0.000000000000000000e+00,-7.687687329749019227e+01,7.608607728243639201e+01
0.000000000000000000e+00,-7.837745372288003409e+01,7.768405441593830574e+01
0.000000000000000000e+00,-8.007451211067464669e+01,7.978679589786760573e+01
0.000000000000000000e+00,-8.202931995722954639e+01,8.161316948760452306e+01
0.000000000000000000e+00,8.176447012949458326e+01,8.124300788842617749e+01
0.000000000000000000e+00,8.047651547918393078e+01,7.983038751244487230e+01
0.000000000000000000e+00,7.862011232598986510e+01,7.739464145993055411e+01
0.000000000000000000e+00,7.650235734627655404e+01,7.622852560626024854e+01
0.000000000000000000e+00,7.593269084282931658e+01,7.548249512553684326e+01
0.000000000000000000e+00,7.606329860600668269e+01,7.655081375494027895e+01
0.000000000000000000e+00,7.787986385598163963e+01,7.835239387434938862e+01
0.000000000000000000e+00,8.023072899187069140e+01,8.039342094244410930e+01
0.000000000000000000e+00,8.140720886482603191e+01,8.177790813389199798e+01
-4.426316613534127242e+01,0.000000000000000000e+00,8.205304812928856961e+01
-4.421034346115895630e+01,0.000000000000000000e+00,8.217079333750925230e+01
-4.418796511589020781e+01,0.000000000000000000e+00,8.229332294273999082e+01
-4.419256614278522477e+01,0.000000000000000000e+00,8.279691550553995683e+01
-4.418375463891236166e+01,0.000000000000000000e+00,8.290478158504792816e+01
-4.414427626310659036e+01,0.000000000000000000e+00,8.265305743005420425e+01
-4.427736949558956070e+01,0.000000000000000000e+00,8.224702411830909909e+01
-4.410352425526223641e+01,0.000000000000000000e+00,8.230250225006464859e+01
-4.429162048479475544e+01,0.000000000000000000e+00,8.203437602524698491e+01
0.000000000000000000e+00,8.169087511827549974e+01,-8.149415614243304162e+01
0.000000000000000000e+00,8.018139848135969316e+01,-7.970491511978775634e+01
0.000000000000000000e+00,7.822619646825256723e+01,-7.778608822790953070e+01
0.000000000000000000e+00,7.643269650417536809e+01,-7.623895061968798359e+01
0.000000000000000000e+00,7.587040183484857891e+01,-7.595836277649206636e+01
0.000000000000000000e+00,7.683791704134975475e+01,-7.666836239679261666e+01
0.000000000000000000e+00,7.834454861002073756e+01,-7.839509191603691818e+01
0.000000000000000000e+00,8.040467251034786500e+01,-8.043127667569953587e+01
0.000000000000000000e+00,8.168702681513681796e+01,-8.166237395157035905e+01
-4.419581278877108588e+01,8.217699705459558857e+01,0.000000000000000000e+00
-4.381038631975756203e+01,8.241679896562125407e+01,0.000000000000000000e+00
-4.373885751667965138e+01,8.249915258122018713e+01,0.000000000000000000e+00
-4.397207525421137575e+01,8.261233084859446762e+01,0.000000000000000000e+00
-4.396698184312324287e+01,8.274850339713869118e+01,0.000000000000000000e+00
-4.399812127282665841e+01,8.262841111354308055e+01,0.000000000000000000e+00
-4.409599081142975052e+01,8.234473610157580481e+01,0.000000000000000000e+00
-4.413692036614645531e+01,8.205596581104231291e+01,0.000000000000000000e+00
-4.428373665435550777e+01,8.202084052399561642e+01,0.000000000000000000e+00
-4.431819682887113032e+01,0.000000000000000000e+00,-8.187276298958087750e+01
-4.428459479275022659e+01,0.000000000000000000e+00,-8.209202811507249464e+01
-4.425942548201253146e+01,0.000000000000000000e+00,-8.238793147702079978e+01
-4.415800625574478033e+01,0.000000000000000000e+00,-8.248828862326104172e+01
-4.418314017488705048e+01,0.000000000000000000e+00,-8.293641789777987583e+01
-4.423618600703613879e+01,0.000000000000000000e+00,-8.298854266757363973e+01
-4.394154002360227196e+01,0.000000000000000000e+00,-8.235485550711679537e+01
-4.391867543591580159e+01,0.000000000000000000e+00,-8.198642073134638508e+01
-4.414275215847313660e+01,0.000000000000000000e+00,-8.179234003581200341e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.845154550918076097e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.780167736244391108e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.724236826732192185e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.758060836103180691e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.773242574078548728e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.742759963063203088e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.770026299452950980e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.752051473521254366e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.820179494648597540e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.838493353957903764e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.755205674483609357e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.766087681285540611e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.874333510668259350e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.920922438571956548e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.848909780919737500e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.752838899200901324e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.751089344068684284e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.772402860293122728e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.817670648833690450e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.839978221177240414e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.100887158529950227e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.192427006703351822e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.229592361455310368e+01,0.000000000000000000e+00,0.000000000000000000e+00
