fx,fy,fz
-9.124572157570776554e+00,-4.636016284037870250e+00,-3.004207712460494051e+01
-4.657723264638494065e+00,9.126921142646828855e+00,-6.010539834197352604e+01
-9.109405280136337879e+00,4.631408591279152276e+00,6.008072429144523596e+01
-4.668130456035315845e+00,-9.148645037590565465e+00,3.010760090134598954e+01
9.088395353560656531e+00,4.650412355228620065e+00,-3.006727522831292987e+01
4.643322483561690639e+00,9.112962102215071525e+00,3.007202829772056774e+01
9.073101033325571052e+00,-4.610982244938313102e+00,6.004738844519827268e+01
4.603670222860852590e+00,-9.076596091206958761e+00,-6.008080238902478243e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.389332968138457325e+01,0.000000000000000000e+00,-8.996242768237246423e+01
-1.443539930012981820e+01,0.000000000000000000e+00,-8.931715948530523974e+01
-1.505372938919995462e+01,0.000000000000000000e+00,-8.829646785705438106e+01
-1.577484311922678728e+01,0.000000000000000000e+00,-8.727037111911683098e+01
-1.589019050550331258e+01,0.000000000000000000e+00,-8.677994314920438512e+01
-1.567568255180122172e+01,0.000000000000000000e+00,-8.709750114507650665e+01
-1.474769144700231571e+01,0.000000000000000000e+00,-8.769449786163990268e+01
-1.428547376571419036e+01,0.000000000000000000e+00,-8.935237002121381522e+01
-1.376660440495903082e+01,0.000000000000000000e+00,-8.989062915430373835e+01
-1.366791315769616588e+01,1.356018730432309383e+01,0.000000000000000000e+00
-1.295508972379380630e+01,1.279182853143845122e+01,0.000000000000000000e+00
-1.188194032083410434e+01,1.160188439063133004e+01,0.000000000000000000e+00
-1.077742427354982624e+01,1.062570995248675843e+01,0.000000000000000000e+00
-1.027428653344667531e+01,1.026813670222323438e+01,0.000000000000000000e+00
-1.068903709603824481e+01,1.075939199799315382e+01,0.000000000000000000e+00
-1.169359046680291314e+01,1.198890161692730416e+01,0.000000000000000000e+00
-1.274564082142763510e+01,1.284878342520402761e+01,0.000000000000000000e+00
-1.350817573648419234e+01,1.367260073293811473e+01,0.000000000000000000e+00
-1.370870918324589383e+01,0.000000000000000000e+00,8.991724010321161131e+01
-1.430156986576650091e+01,0.000000000000000000e+00,8.904202717024769242e+01
-1.485088154058190391e+01,0.000000000000000000e+00,8.789672200114362965e+01
-1.573203765232260665e+01,0.000000000000000000e+00,8.653051436580730638e+01
-1.582614916832870122e+01,0.000000000000000000e+00,8.683871513524243824e+01
-1.546822242261817237e+01,0.000000000000000000e+00,8.700803911101156984e+01
-1.497162694289847806e+01,0.000000000000000000e+00,8.853090928171378948e+01
-1.434368992269362941e+01,0.000000000000000000e+00,8.939657254305592460e+01
-1.389388154161204980e+01,0.000000000000000000e+00,9.000392008096045515e+01
-1.362856028437724731e+01,-1.353183561343368346e+01,0.000000000000000000e+00
-1.296349482171259737e+01,-1.274011177965586228e+01,0.000000000000000000e+00
-1.192082535546082767e+01,-1.161430508868482114e+01,0.000000000000000000e+00
-1.088527734203673347e+01,-1.058169539210149601e+01,0.000000000000000000e+00
-1.033529780535917553e+01,-1.026805606334197485e+01,0.000000000000000000e+00
-1.063138771442886643e+01,-1.078461028923533327e+01,0.000000000000000000e+00
-1.158690495695370615e+01,-1.197126272083119325e+01,0.000000000000000000e+00
-1.271890024352317994e+01,-1.305074836406240912e+01,0.000000000000000000e+00
-1.345089487803849693e+01,-1.360285793377418884e+01,0.000000000000000000e+00
0.000000000000000000e+00,1.386297320882038164e+01,-8.979335222889908152e+01
0.000000000000000000e+00,1.418842235309518074e+01,-8.905331622818317783e+01
0.000000000000000000e+00,1.495492215483791298e+01,-8.775053054858217649e+01
0.000000000000000000e+00,1.562194957359663583e+01,-8.694647787063144051e+01
0.000000000000000000e+00,1.573858213476763801e+01,-8.672735268400853670e+01
0.000000000000000000e+00,1.552722962447552391e+01,-8.700095960495114866e+01
0.000000000000000000e+00,1.483541097284198607e+01,-8.855075637248697262e+01
0.000000000000000000e+00,1.433481997020585474e+01,-8.932456215521852982e+01
