ux,uy,uz
7.380500833328608460e-35,4.774658036262605490e-35,7.238396361910076970e-37
4.775191830459777113e-35,2.000000000000000000e+01,2.444639217700114308e-36
6.400999695557180008e-35,2.000000000000000000e+01,-2.588328166251499997e-36
6.430052283517263773e-35,6.904342262122385967e-35,-7.627647582074779587e-37
2.000000000000000000e+01,2.000000000000000000e+01,1.424686228972931471e-36
2.000000000000000000e+01,2.000000000000000000e+01,-5.981887185577415288e-37
2.000000000000000000e+01,4.765531385399546773e-35,-2.271781772562517423e-36
2.000000000000000000e+01,7.135394193346053870e-35,2.901472815588584570e-36
1.009139907987970908e+01,2.460561017453441135e+00,-2.296541103982471105e-03
1.005117838024933796e+01,1.755512580068972284e+01,4.360569001375821235e-02
1.270978641009472974e-34,1.979542601503619492e+00,3.412051904569942101e-36
1.273314393486016534e-34,3.965394020116977725e+00,3.457701099181963729e-36
1.435235678179057832e-34,5.964687559917361881e+00,3.745233821442063557e-36
1.120788037943063748e-34,7.980172330911456946e+00,3.820678111791540984e-36
1.224097442049072195e-34,1.000166588072477580e+01,2.948563335841844423e-36
1.275012781317796550e-34,1.202271601803632883e+01,3.341866920269601032e-36
1.262471465363284782e-34,1.403777505085860788e+01,3.243879325028879958e-36
1.433152294209508709e-34,1.603873524583481824e+01,4.290180687274509000e-36
1.188040176295050765e-34,1.802444975903334878e+01,4.120690127452595848e-36
1.283157256325418433e-34,2.000000000000000000e+01,6.371464393866595188e-02
1.402465674078147015e-34,2.000000000000000000e+01,1.085709771918796085e-01
1.106065102854120481e-34,2.000000000000000000e+01,1.142976827965123954e-01
1.313195728910284964e-34,2.000000000000000000e+01,7.244094832328890066e-02
1.169379269348146854e-34,2.000000000000000000e+01,-2.679267862269691996e-04
1.336561947312328516e-34,2.000000000000000000e+01,-7.248837090108313508e-02
1.207515525239618600e-34,2.000000000000000000e+01,-1.138395208166091410e-01
1.474826241758816154e-34,2.000000000000000000e+01,-1.058819129778662271e-01
1.190202628020083712e-34,2.000000000000000000e+01,-6.335437770779842048e-02
1.263776015682137466e-34,1.802362932253605265e+01,-3.592594364811346862e-36
1.273304644404396391e-34,1.603528637945359492e+01,-3.403443427054463096e-36
1.248391559912527806e-34,1.403359078175144781e+01,-3.346698079889013673e-36
1.202594092765476265e-34,1.201711846948857421e+01,-3.013592479954315357e-36
1.228774873452628356e-34,9.996383814708593718e+00,-3.261826359187336828e-36
1.287203321783515501e-34,7.974545704261418066e+00,-2.969508758634068724e-36
1.251449790385027413e-34,5.961674008069588027e+00,-3.851537620315510096e-36
1.149071907843761965e-34,3.963035381483236641e+00,-3.842287699027154772e-36
1.421081431583412123e-34,1.977657788871675537e+00,-3.837508560934593632e-36
1.285172705223649778e-34,1.204124569371141836e-34,-6.424756971248643533e-02
1.171701085685962187e-34,1.394176720639269744e-34,-1.081171177566840058e-01
1.468079043372355660e-34,1.042845719055957938e-34,-1.139876739864835453e-01
1.097417113119420834e-34,1.328030566845072321e-34,-7.437441381930555429e-02
1.180624858614905396e-34,1.014504131692128578e-34,-4.712403350094156564e-04
1.188056915161091947e-34,1.027148172185150226e-34,7.243754490662131229e-02
1.214645996422352174e-34,1.057261340021293122e-34,1.133382768744302660e-01
1.247713022127131986e-34,1.087810353083529256e-34,1.053882495581619783e-01
1.379450429483087334e-34,1.173511397999809273e-34,6.245524110357461578e-02
1.978617509543699970e+00,2.000000000000000000e+01,3.631691818772108717e-36
3.965916219469829862e+00,2.000000000000000000e+01,4.292017251558400376e-36
5.967643677327531648e+00,2.000000000000000000e+01,3.173347065671915425e-36
7.982164691434277870e+00,2.000000000000000000e+01,3.146510032463360234e-36
1.000311694376360627e+01,2.000000000000000000e+01,3.311217792244235004e-36
1.202446042611187060e+01,2.000000000000000000e+01,3.164740673604779493e-36
1.403918642575385434e+01,2.000000000000000000e+01,4.526657958514580940e-36
1.603806205436504939e+01,2.000000000000000000e+01,4.068416522009503849e-36
1.802429243546157522e+01,2.000000000000000000e+01,3.485095534036571266e-36
2.000000000000000000e+01,2.000000000000000000e+01,6.316079261238999321e-02
2.000000000000000000e+01,2.000000000000000000e+01,1.072183428211179179e-01
2.000000000000000000e+01,2.000000000000000000e+01,1.086261010004678507e-01
2.000000000000000000e+01,2.000000000000000000e+01,7.234990562134466230e-02
2.000000000000000000e+01,2.000000000000000000e+01,1.883874199987184373e-03
2.000000000000000000e+01,2.000000000000000000e+01,-6.934269842410062390e-02
2.000000000000000000e+01,2.000000000000000000e+01,-1.099467299039445234e-01
2.000000000000000000e+01,2.000000000000000000e+01,-1.079476338093818266e-01
2.000000000000000000e+01,2.000000000000000000e+01,-6.408872626023863484e-02
1.802254818788100366e+01,2.000000000000000000e+01,-3.484058049839193957e-36
1.603750059687880380e+01,2.000000000000000000e+01,-4.276586386244080904e-36
1.403748376837563505e+01,2.000000000000000000e+01,-3.564779932406703220e-36
1.202414769293230279e+01,2.000000000000000000e+01,-3.895535370642188261e-36
1.000338293323940597e+01,2.000000000000000000e+01,-2.784613520567685579e-36
7.981061098421204925e+00,2.000000000000000000e+01,-2.964672781415145144e-36
5.966581073738521646e+00,2.000000000000000000e+01,-4.611290520191091299e-36
3.964531923932623769e+00,2.000000000000000000e+01,-4.753575440968287542e-36
1.978933159886614002e+00,2.000000000000000000e+01,-3.643536642680692221e-36
1.802466496431137699e+01,1.427686235866273372e-34,-3.444633109832289371e-36
1.603659477630758801e+01,1.110328232100403960e-34,-5.240832117546546077e-36
1.403410031820374648e+01,1.429351218479042583e-34,-3.341498154926779066e-36
1.201980169065424064e+01,1.273358782650087437e-34,-4.005024136794138104e-36
1.000069647469034528e+01,1.211820420491203296e-34,-3.117745872265861510e-36
7.979445878775656809e+00,1.286012923589198319e-34,-3.265128831096061106e-36
