fx,fy,fz
5.505439169819767997e+00,6.180070814134497681e+01,4.907521436799403602e+01
2.921885936689927910e+00,-1.232946613162735190e+02,9.782085710898412856e+01
5.383309849519969603e+00,-6.198776726944899451e+01,-9.808018564911643011e+01
3.088886764149702646e+00,1.232173148578480237e+02,-4.902047477440395795e+01
-5.551228000976578869e+00,-6.186842172388217165e+01,4.916969878635586610e+01
-3.047760086444716077e+00,-1.230101878849939681e+02,-4.899374346134325720e+01
-5.302869909597593079e+00,6.192295605696583038e+01,-9.795363379263173442e+01
-2.802677887121495903e+00,1.231708688443808910e+02,9.784256641459982973e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.811360433094815647e+00,0.000000000000000000e+00,1.463763827853309749e+02
1.084063289415176001e+01,0.000000000000000000e+00,1.438498086109377709e+02
1.345423384153577118e+01,0.000000000000000000e+00,1.403489700536649423e+02
1.608569754594057599e+01,0.000000000000000000e+00,1.367673340902186681e+02
1.660515859228278046e+01,0.000000000000000000e+00,1.351949960890299280e+02
1.552538011550124253e+01,0.000000000000000000e+00,1.360117612040706945e+02
1.286308254921918426e+01,0.000000000000000000e+00,1.385482200174315608e+02
1.036510794694866178e+01,0.000000000000000000e+00,1.437790870193588262e+02
8.469226436410385972e+00,0.000000000000000000e+00,1.459723890567096873e+02
7.935623621813268969e+00,-1.841284303876981596e+02,0.000000000000000000e+00
4.896302527684309069e+00,-1.812539415763478416e+02,0.000000000000000000e+00
2.110216987515413367e-01,-1.759492689220480202e+02,0.000000000000000000e+00
-4.355164332939488681e+00,-1.714616184532547152e+02,0.000000000000000000e+00
-6.669860056810692051e+00,-1.703932689570314665e+02,0.000000000000000000e+00
-5.245730444726055985e+00,-1.726984118850003256e+02,0.000000000000000000e+00
-8.791637662611863080e-01,-1.781253821998254239e+02,0.000000000000000000e+00
3.741124939363415614e+00,-1.815167025544923547e+02,0.000000000000000000e+00
7.124296482159999222e+00,-1.845596254985672715e+02,0.000000000000000000e+00
8.436997172280523927e+00,0.000000000000000000e+00,-1.459794030368277333e+02
1.078721899562162889e+01,0.000000000000000000e+00,-1.430999368357799710e+02
1.305481173125337691e+01,0.000000000000000000e+00,-1.392602514534604552e+02
1.590849872560898959e+01,0.000000000000000000e+00,-1.353238425875661903e+02
1.654500374202850566e+01,0.000000000000000000e+00,-1.355240987351450599e+02
1.538709592016898320e+01,0.000000000000000000e+00,-1.362060204563931052e+02
1.290406117523746232e+01,0.000000000000000000e+00,-1.408131200986969134e+02
1.057501487242444860e+01,0.000000000000000000e+00,-1.438538973205581328e+02
