fx,fy,fz
-1.840571760306655051e+04,-8.226030587394987492e+00,-8.610020019918351863e-01
-5.671096494049621128e+00,-1.839932882405864439e+04,2.079924274182005206e+00
-3.586373142893123145e+00,5.997193600584154183e-01,-1.840555310830582312e+04
1.840571759811113952e+04,-2.632121337849184783e-01,-1.558380377450745868e+00
-4.793809280644723003e-02,1.839932886098731979e+04,1.041507187246367039e+00
9.740808577450366101e-02,-3.242068408723696393e+00,1.840555310570035726e+04
