sxx,syy,szz,sxy,sxz,syz,smises
6.368615792408457987e-02,-3.156302793220525094e-02,2.087897146789671199e-01,3.251647362929059940e-03,-4.946254789197829238e-02,1.607042812386104717e-03,2.265558242797851562e-01
8.264410226743984511e-02,7.188566637672477722e-03,2.721940710686139298e-01,2.708671988958798269e-03,-2.531572511805912570e-02,2.160979986924100975e-03,2.405909448862075806e-01
1.297527936098596679e-01,2.695501250975153307e-02,2.639465197307138133e-01,-2.814305048575476884e-04,-2.982261121581799429e-02,2.356060623709708545e-03,2.122621238231658936e-01
8.907318653659442032e-02,-8.873328616877534936e-04,2.682788839028761307e-01,6.946029725783578468e-03,-3.850968046108008830e-02,-1.715792121600683007e-02,2.486079782247543335e-01
1.216249341376325205e-01,-1.308636749591833570e-02,2.110476196455511877e-01,5.453094749924882086e-03,-8.608877672722194119e-02,9.839025793307778350e-03,2.465831637382507324e-01
1.088341042075159221e-01,-2.005696765241567203e-02,2.110447005774128693e-01,-6.135411835614849353e-03,-8.661186233681336666e-02,1.952601767958856566e-02,2.529733479022979736e-01
2.368509200296926021e-01,5.783854876810740064e-03,2.329971252924232239e-01,-1.982532768275996164e-03,-1.180857138415001683e-03,-1.858633027068564130e-03,2.292219251394271851e-01
2.260020768522711387e-01,1.682925375291549619e-03,2.258966286212775454e-01,-2.147032038014510917e-03,2.496834444374908257e-03,-2.224056943955829164e-03,2.243720293045043945e-01
2.302114446241394496e-01,1.034759267721338527e-02,2.367649665979206508e-01,1.633687653543516708e-04,4.185962768257153743e-03,-5.158955662629116081e-04,2.233324646949768066e-01
2.395450509529106209e-01,1.002843786960105898e-02,2.323209873803323833e-01,-2.144577997621239900e-03,3.648976077979611005e-03,-5.926372601562847342e-03,2.263429462909698486e-01
2.306966552135860937e-01,2.857978162936064548e-03,2.258428389060089247e-01,-5.353246834577318584e-03,1.820311797501577384e-03,-8.077379542786453787e-03,2.260968387126922607e-01
2.312009158916313312e-01,2.881046270577725110e-03,2.253887787102145657e-01,-1.855869884391759487e-03,3.015940325534389316e-03,-2.654591415468687647e-03,2.256002575159072876e-01
2.266539844396316949e-01,4.522135643709263020e-03,2.263306865576820426e-01,-1.456417211638176817e-03,7.395372757197116740e-04,-2.019397596604600390e-03,2.220159620046615601e-01
2.209730446325944286e-01,-3.709161562157281544e-03,2.226302739322781055e-01,4.978910746516564297e-03,-2.131570055699668839e-04,-4.860492317106930235e-03,2.258374840021133423e-01
2.116779437563786614e-01,1.967446188798518958e-02,2.019996428476418249e-01,3.289268867352418760e-03,-9.629575201656829717e-03,3.843849769350564903e-03,1.882968693971633911e-01
2.168150143573822075e-01,2.065665598973059902e-03,2.139100288822656792e-01,8.784298707619963772e-03,9.042355633294096168e-03,-1.065782574731304923e-02,2.152194976806640625e-01
2.246283316348139936e-01,6.464046776215454093e-03,2.282398186129682427e-01,7.018241168390907704e-03,2.846970276266828307e-03,-1.242416035505726664e-02,2.214311510324478149e-01
2.080930591422824882e-01,-5.226758192339919784e-03,2.150216642344893181e-01,4.678461606165339355e-03,9.654464170611980894e-03,-7.822450033310808862e-03,2.180830538272857666e-01
2.169367191052429811e-01,-3.327224959442098839e-03,2.220344607074167254e-01,5.198410387112589910e-03,1.903774905404503979e-03,-6.518408517008533916e-03,2.233482748270034790e-01
2.415788782820117442e-01,5.194374138306923072e-03,2.350119428299144442e-01,1.282964708621368854e-02,1.192133699326942443e-02,-1.114147373026922773e-02,2.359258085489273071e-01
2.200202954286449852e-01,-4.506663476267713797e-03,2.202647162896194666e-01,9.290023181445675009e-04,-5.389799895960529206e-05,-1.637020043576615938e-03,2.246729433536529541e-01
