fx,fy,fz
4.215749623999422369e+01,2.111333048068080132e+01,1.126914353604891172e-01
2.122023741086324833e+01,-4.221557932532675750e+01,2.545580849785281652e-01
4.224903077175030575e+01,-2.117651007478172431e+01,-3.092767765210731046e-01
2.114792990411221041e+01,4.215891633799765970e+01,-2.154993963705099380e-01
-4.208838069538585103e+01,-2.112369887122985901e+01,1.946813380009783656e-01
-2.112674824994847711e+01,-4.216389531574638028e+01,-1.755507402701662889e-01
-4.212027635814879289e+01,2.117325835479115170e+01,-1.946504468245610076e-01
-2.117509978447057151e+01,4.217526391809346364e+01,3.776502402705200212e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.349499578042159698e+01,0.000000000000000000e+00,3.338170060772345793e-01
6.425216722723216378e+01,0.000000000000000000e+00,1.367264695708691469e-01
6.498745473936051553e+01,0.000000000000000000e+00,-3.478604235326951399e-01
6.596555883651029717e+01,0.000000000000000000e+00,-7.521031516821893304e-01
6.617606286848045727e+01,0.000000000000000000e+00,-8.938866494050435874e-01
6.581863984349163843e+01,0.000000000000000000e+00,-6.265630183648625007e-01
6.459991625843777285e+01,0.000000000000000000e+00,-4.737754518591322794e-01
6.390625870761552108e+01,0.000000000000000000e+00,9.318590065645998566e-02
6.344710140490906269e+01,0.000000000000000000e+00,2.656337962543983688e-01
6.286927660138535146e+01,-6.251390593205824331e+01,0.000000000000000000e+00
6.094450936002293417e+01,-6.031467388041829736e+01,0.000000000000000000e+00
5.797962212275466953e+01,-5.699428868189160369e+01,0.000000000000000000e+00
5.475453204866578005e+01,-5.428180493981537325e+01,0.000000000000000000e+00
5.362977470895825860e+01,-5.375020765636715936e+01,0.000000000000000000e+00
5.473319808659978492e+01,-5.520744422308111155e+01,0.000000000000000000e+00
5.698322167928547088e+01,-5.806348328252357760e+01,0.000000000000000000e+00
6.030522709634506384e+01,-6.077814783981261115e+01,0.000000000000000000e+00
6.247924459333221847e+01,-6.291227374785651705e+01,0.000000000000000000e+00
6.333985278788411222e+01,0.000000000000000000e+00,-2.758835003081889781e-01
6.426248843779968922e+01,0.000000000000000000e+00,7.476599228228178462e-02
6.495634630786126706e+01,0.000000000000000000e+00,3.868395802475517176e-01
6.594569953883720359e+01,0.000000000000000000e+00,1.063047201895706895e+00
6.574449249521690319e+01,0.000000000000000000e+00,8.883552192564506678e-01
6.561536648051239240e+01,0.000000000000000000e+00,7.746558858652066171e-01
6.495491936060568605e+01,0.000000000000000000e+00,2.434278614714686095e-01
6.402552466591932046e+01,0.000000000000000000e+00,-2.515719445625960171e-01
6.350462184711224012e+01,0.000000000000000000e+00,-5.835410788034192109e-01
6.288912989819506549e+01,6.258725780129253735e+01,0.000000000000000000e+00
6.086898900516425215e+01,6.015940125810192995e+01,0.000000000000000000e+00
5.801929358864480690e+01,5.712948763073298863e+01,0.000000000000000000e+00
5.532828717501163140e+01,5.427662846988582146e+01,0.000000000000000000e+00
5.374665198667587163e+01,5.392447144878087073e+01,0.000000000000000000e+00
5.443908999260736437e+01,5.514430696571654522e+01,0.000000000000000000e+00
5.706543674662391652e+01,5.860332936287115757e+01,0.000000000000000000e+00
6.030217396958025233e+01,6.119869023373924932e+01,0.000000000000000000e+00
6.249223806809560244e+01,6.292119458515632857e+01,0.000000000000000000e+00
0.000000000000000000e+00,-6.340974390456827336e+01,2.824372544388819573e-01
0.000000000000000000e+00,-6.391957282488758096e+01,-1.118966734992653811e-01
0.000000000000000000e+00,-6.509184455929633373e+01,-5.034789920400268848e-01
0.000000000000000000e+00,-6.590106205152645202e+01,-1.002464450637201576e+00
0.000000000000000000e+00,-6.587792430680673306e+01,-8.063884338562036236e-01
0.000000000000000000e+00,-6.578026202843936687e+01,-6.979505647112480560e-01
0.000000000000000000e+00,-6.488037834587717612e+01,-2.137892204932684836e-01
0.000000000000000000e+00,-6.426974234424085353e+01,4.193607013638786518e-01
0.000000000000000000e+00,-6.329006789762235741e+01,4.716791225232355167e-01
-6.234796129157032851e+01,-6.280575961621897818e+01,0.000000000000000000e+00
-5.988440860905656393e+01,-6.130190700077102406e+01,0.000000000000000000e+00
-5.667574800089958131e+01,-5.725814549238981499e+01,0.000000000000000000e+00
-5.516733996297649867e+01,-5.533776970648494853e+01,0.000000000000000000e+00
-5.371203648143771403e+01,-5.369049280090561638e+01,0.000000000000000000e+00
-5.524120346740777165e+01,-5.474795507751325374e+01,0.000000000000000000e+00
-5.746281304152534375e+01,-5.724387913053543286e+01,0.000000000000000000e+00
-6.108270441182635579e+01,-5.990309520404714050e+01,0.000000000000000000e+00
-6.267109280487397172e+01,-6.217675464795990337e+01,0.000000000000000000e+00
0.000000000000000000e+00,-6.337365120198062129e+01,-4.789472499198731414e-01
0.000000000000000000e+00,-6.405483669534825708e+01,-1.920602915014858469e-01
0.000000000000000000e+00,-6.492270244752789665e+01,3.187892283867150844e-01
0.000000000000000000e+00,-6.577860694341126191e+01,8.415954377295218336e-01
0.000000000000000000e+00,-6.601584593141724611e+01,1.111317747661902500e+00
0.000000000000000000e+00,-6.562666193144457338e+01,8.958984913071755818e-01
0.000000000000000000e+00,-6.476992118505509666e+01,2.929314341579735692e-01
0.000000000000000000e+00,-6.380805947940086753e+01,-3.943555889291805450e-01
0.000000000000000000e+00,-6.337729346293942001e+01,-4.130568620850324502e-01
0.000000000000000000e+00,6.333066705089463966e+01,-3.663190125205542658e-01
0.000000000000000000e+00,6.372293500117834952e+01,-3.262447098200941253e-01
0.000000000000000000e+00,6.468535217130478543e+01,1.743371241428740559e-01
0.000000000000000000e+00,6.568606857525085729e+01,8.293411314145989754e-01
0.000000000000000000e+00,6.640421343926918496e+01,1.192715605207808061e+00
0.000000000000000000e+00,6.604455476381440349e+01,7.335387029160850281e-01
0.000000000000000000e+00,6.521575296095463159e+01,1.832165409900148867e-01
0.000000000000000000e+00,6.460946511195614050e+01,-4.140460558952343412e-02
0.000000000000000000e+00,6.364600382848013282e+01,-5.078572419447252573e-01
-6.334252303120477734e+01,0.000000000000000000e+00,-3.467462818451316764e-01
-6.377598794488238099e+01,0.000000000000000000e+00,-1.894261984371372054e-01
-6.470158018906712982e+01,0.000000000000000000e+00,1.368357678449130255e-01
-6.571863336079590567e+01,0.000000000000000000e+00,7.723974584705465274e-01
-6.607236436477863606e+01,0.000000000000000000e+00,8.755910960134860588e-01
-6.575738276336451804e+01,0.000000000000000000e+00,8.543512267550261718e-01
-6.506579763608354483e+01,0.000000000000000000e+00,6.260254269844157671e-01
-6.430820752062950874e+01,0.000000000000000000e+00,-1.011716995518224249e-01
-6.324016312156478392e+01,0.000000000000000000e+00,-2.684011542546208551e-01
0.000000000000000000e+00,6.344718694695825434e+01,4.605377884293871404e-01
0.000000000000000000e+00,6.423385022289792801e+01,7.079771463029085887e-02
0.000000000000000000e+00,6.484124530375949291e+01,-5.306451201619393210e-01
0.000000000000000000e+00,6.565820211128034600e+01,-7.504849915103024571e-01
0.000000000000000000e+00,6.591202976930907198e+01,-1.045090645049579825e+00
