x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+02,2.000000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+02
2.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+02
1.000000000000000000e+02,5.000000000000000000e+01,1.000000000000000000e+02
1.000000000000000000e+02,1.500000000000000000e+02,1.000000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+02
0.000000000000000000e+00,4.000000000000000000e+01,2.000000000000000000e+02
0.000000000000000000e+00,6.000000000000000000e+01,2.000000000000000000e+02
0.000000000000000000e+00,8.000000000000000000e+01,2.000000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+02
0.000000000000000000e+00,1.200000000000000000e+02,2.000000000000000000e+02
0.000000000000000000e+00,1.400000000000000000e+02,2.000000000000000000e+02
0.000000000000000000e+00,1.600000000000000000e+02,2.000000000000000000e+02
0.000000000000000000e+00,1.800000000000000000e+02,2.000000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+02,1.800000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+02,1.600000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+02,1.400000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+02,1.200000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+02,1.000000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+02,8.000000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+02,6.000000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+02,4.000000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+02,2.000000000000000000e+01
0.000000000000000000e+00,1.800000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+02
2.000000000000000000e+01,2.000000000000000000e+02,2.000000000000000000e+02
4.000000000000000000e+01,2.000000000000000000e+02,2.000000000000000000e+02
6.000000000000000000e+01,2.000000000000000000e+02,2.000000000000000000e+02
8.000000000000000000e+01,2.000000000000000000e+02,2.000000000000000000e+02
1.000000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+02
1.200000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+02
1.400000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+02
1.600000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+02
1.800000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+02
2.000000000000000000e+02,2.000000000000000000e+02,1.800000000000000000e+02
2.000000000000000000e+02,2.000000000000000000e+02,1.600000000000000000e+02
2.000000000000000000e+02,2.000000000000000000e+02,1.400000000000000000e+02
2.000000000000000000e+02,2.000000000000000000e+02,1.200000000000000000e+02
2.000000000000000000e+02,2.000000000000000000e+02,1.000000000000000000e+02
2.000000000000000000e+02,2.000000000000000000e+02,8.000000000000000000e+01
2.000000000000000000e+02,2.000000000000000000e+02,6.000000000000000000e+01
2.000000000000000000e+02,2.000000000000000000e+02,4.000000000000000000e+01
2.000000000000000000e+02,2.000000000000000000e+02,2.000000000000000000e+01
1.800000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00
1.600000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00
1.400000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00
8.000000000000000000e+01,2.000000000000000000e+02,0.000000000000000000e+00
6.000000000000000000e+01,2.000000000000000000e+02,0.000000000000000000e+00
4.000000000000000000e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.800000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,1.600000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,1.400000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,1.200000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00
2.000000000000000000e+02,8.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+02,6.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+02
1.600000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+02
1.400000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+02
1.200000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+02
1.000000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+02
8.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+02
6.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+02
4.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+02
2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+02
2.000000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+01
2.000000000000000000e+02,0.000000000000000000e+00,4.000000000000000000e+01
2.000000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+01
2.000000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+01
2.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+02
2.000000000000000000e+02,0.000000000000000000e+00,1.200000000000000000e+02
2.000000000000000000e+02,0.000000000000000000e+00,1.400000000000000000e+02
2.000000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+02
2.000000000000000000e+02,0.000000000000000000e+00,1.800000000000000000e+02
2.000000000000000000e+02,2.000000000000000000e+01,2.000000000000000000e+02
2.000000000000000000e+02,4.000000000000000000e+01,2.000000000000000000e+02
2.000000000000000000e+02,6.000000000000000000e+01,2.000000000000000000e+02
2.000000000000000000e+02,8.000000000000000000e+01,2.000000000000000000e+02
2.000000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+02
2.000000000000000000e+02,1.200000000000000000e+02,2.000000000000000000e+02
2.000000000000000000e+02,1.400000000000000000e+02,2.000000000000000000e+02
2.000000000000000000e+02,1.600000000000000000e+02,2.000000000000000000e+02
2.000000000000000000e+02,1.800000000000000000e+02,2.000000000000000000e+02
1.191341705322265625e+02,5.380602264404296875e+01,1.000000000000000000e+02
1.353553466796875000e+02,6.464466094970703125e+01,1.000000000000000000e+02
1.461939697265625000e+02,8.086582946777343750e+01,1.000000000000000000e+02
1.500000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
1.461939697265625000e+02,1.191341705322265625e+02,1.000000000000000000e+02
1.353553466796875000e+02,1.353553466796875000e+02,1.000000000000000000e+02
1.191341705322265625e+02,1.461939697265625000e+02,1.000000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+01,1.800000000000000000e+02
0.000000000000000000e+00,4.000000000000000000e+01,1.800000000000000000e+02
0.000000000000000000e+00,6.000000000000000000e+01,1.800000000000000000e+02
0.000000000000000000e+00,8.000000000000000000e+01,1.800000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+02,1.800000000000000000e+02
0.000000000000000000e+00,1.200000000000000000e+02,1.800000000000000000e+02
0.000000000000000000e+00,1.400000000000000000e+02,1.800000000000000000e+02
0.000000000000000000e+00,1.600000000000000000e+02,1.800000000000000000e+02
0.000000000000000000e+00,1.800000000000000000e+02,1.800000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+01,1.600000000000000000e+02
0.000000000000000000e+00,4.000000000000000000e+01,1.600000000000000000e+02
0.000000000000000000e+00,6.000000000000000000e+01,1.600000000000000000e+02
0.000000000000000000e+00,8.000000000000000000e+01,1.600000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+02,1.600000000000000000e+02
0.000000000000000000e+00,1.200000000000000000e+02,1.600000000000000000e+02
0.000000000000000000e+00,1.400000000000000000e+02,1.600000000000000000e+02
0.000000000000000000e+00,1.600000000000000000e+02,1.600000000000000000e+02
0.000000000000000000e+00,1.800000000000000000e+02,1.600000000000000000e+02
0.000000000000000000e+00,2.000000000000000000e+01,1.400000000000000000e+02
0.000000000000000000e+00,4.000000000000000000e+01,1.400000000000000000e+02
0.000000000000000000e+00,6.000000000000000000e+01,1.400000000000000000e+02
0.000000000000000000e+00,8.000000000000000000e+01,1.400000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+02,1.400000000000000000e+02
0.000000000000000000e+00,1.200000000000000000e+02,1.400000000000000000e+02
0.000000000000000000e+00,1.400000000000000000e+02,1.400000000000000000e+02
0.000000000000000000e+00,1.600000000000000000e+02,1.400000000000000000e+02
0.000000000000000000e+00,1.800000000000000000e+02,1.400000000000000000e+02
