fx,fy,fz
-3.303607634921834091e+01,-4.754527072186922609e+00,4.770968124209222339e+00
-1.658797903876094537e+01,9.430380246793042431e+00,9.462164908042360878e+00
-3.311300564677418379e+01,4.658832095481450608e+00,-9.501354575201499841e+00
-1.655143967292269025e+01,-9.563852716159255252e+00,-4.709985297437097707e+00
3.299317703505961674e+01,4.737239126906700015e+00,4.740147135366366449e+00
1.653502053984339426e+01,9.557914026979787536e+00,-4.706946909206981111e+00
3.303827854277038512e+01,-4.668743316475431726e+00,-9.520790647717202404e+00
1.656914606835415427e+01,-9.448649087054862505e+00,9.404203195949623506e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.940512940662519270e+01,0.000000000000000000e+00,1.410135305894138114e+01
-4.891906649460914025e+01,0.000000000000000000e+00,1.352844413434693394e+01
-4.817850087617389931e+01,0.000000000000000000e+00,1.281247502349403966e+01
-4.774329796651694124e+01,0.000000000000000000e+00,1.214926953768185136e+01
-4.769469924662497107e+01,0.000000000000000000e+00,1.172151336595871207e+01
-4.802696820946795242e+01,0.000000000000000000e+00,1.180466257956207698e+01
-4.830255534694715180e+01,0.000000000000000000e+00,1.247639279123647782e+01
-4.909850109718566813e+01,0.000000000000000000e+00,1.344510279441493950e+01
-4.951331933015694631e+01,0.000000000000000000e+00,1.403296135576544579e+01
-4.946965753339252814e+01,1.394743177403685586e+01,0.000000000000000000e+00
-4.908088150874430511e+01,1.333912668138517610e+01,0.000000000000000000e+00
-4.850508295339348308e+01,1.254011452960624418e+01,0.000000000000000000e+00
-4.773349087201293628e+01,1.188158530661827861e+01,0.000000000000000000e+00
-4.756462442785052502e+01,1.172674637942885667e+01,0.000000000000000000e+00
-4.786124572038166747e+01,1.208532676259653371e+01,0.000000000000000000e+00
-4.825934592438007797e+01,1.279129537672539918e+01,0.000000000000000000e+00
-4.898935002603402467e+01,1.356002013132078332e+01,0.000000000000000000e+00
-4.944362352762001933e+01,1.406812596450512132e+01,0.000000000000000000e+00
-4.941844702714831783e+01,0.000000000000000000e+00,-1.397696307430386931e+01
-4.890249156033584654e+01,0.000000000000000000e+00,-1.344260693869236611e+01
-4.831142051936459580e+01,0.000000000000000000e+00,-1.259647288407842325e+01
-4.781469107832211307e+01,0.000000000000000000e+00,-1.192954269386267896e+01
-4.752781514591704592e+01,0.000000000000000000e+00,-1.181358157123146491e+01
-4.781538671372481275e+01,0.000000000000000000e+00,-1.211109943721736393e+01
-4.852133692258369990e+01,0.000000000000000000e+00,-1.280553193757023678e+01
-4.908542254351352341e+01,0.000000000000000000e+00,-1.350244788358419967e+01
-4.947512711980150613e+01,0.000000000000000000e+00,-1.400354513964608216e+01
