ux,uy,uz
2.447499663102407310e-35,9.002843342577062717e-36,-4.223388708124407199e-36
1.582492904455821969e-35,-1.335335327774772097e-35,-1.528618058321143662e-35
2.123699861847988861e-35,-8.864669245299005821e-36,1.601130622007369790e-35
2.132695158776070358e-35,1.305514345885554822e-35,3.968157898793702637e-36
2.000000000000000000e+01,-3.040704652048356322e-36,-8.963965088968878215e-36
2.000000000000000000e+01,-1.216429982981868993e-35,3.093986188445967105e-36
2.000000000000000000e+01,8.899979029949877663e-36,1.481603731552552919e-35
2.000000000000000000e+01,1.342572763129056276e-35,-1.785362068224171914e-35
1.024526829384497617e+01,-2.646528092888618122e+00,3.894246529468308599e-02
1.009420323574030753e+01,2.754019018028043497e+00,-5.515970934059989672e-02
4.192940922888442226e-35,-1.221690422963738892e-01,-2.082900424139173877e-35
4.151318381345033867e-35,-2.081880137919910889e-01,-2.021189523015975741e-35
4.611759179894162551e-35,-2.153240659025984216e-01,-2.196520751385298129e-35
3.564608746463272714e-35,-1.314886926293028224e-01,-2.552020287028880614e-35
3.892444003305557888e-35,7.739924458500045679e-03,-1.872490229697013891e-35
4.084008342618592336e-35,1.451988635657473214e-01,-1.931624998314751104e-35
4.104153780064422004e-35,2.095329873386425346e-01,-1.970176302800080820e-35
4.696204322677050633e-35,2.188343963902911193e-01,-2.690975125304488910e-35
3.941359119946415909e-35,1.278347455468717142e-01,-2.514247272627138736e-35
4.260652989617668419e-35,-2.202038770135389561e-35,1.239893811323464629e-01
4.690386810830701454e-35,-2.333842123367686326e-35,2.143837595163699261e-01
3.754304937214925467e-35,-2.231568735636216462e-35,2.215241922985827505e-01
4.515254404733801743e-35,-1.931039001918958099e-35,1.339328020873121472e-01
4.065839343754166897e-35,-2.503588937574536708e-35,-6.900832690502550076e-03
4.631652312983515740e-35,-1.985953738406050664e-35,-1.346680759026488428e-01
4.112632406349852991e-35,-2.576149852830415737e-35,-2.180628575009885828e-01
4.962464899237354743e-35,-2.041231673229774257e-35,-2.066981011682737235e-01
3.961657704213547221e-35,-2.673803382846548367e-35,-1.250225930022412224e-01
4.182301881189276473e-35,1.302322796572172037e-01,2.111605457840040871e-35
4.166962560068885906e-35,2.073681188177272372e-01,2.040456398733136621e-35
4.035201566283487805e-35,2.054640979139431833e-01,2.013248941556505615e-35
3.830839807243157353e-35,1.180194934940537593e-01,2.078292899371569768e-35
3.897921019706497682e-35,-2.655142815284711535e-02,2.128465551909309977e-35
4.124337634964250311e-35,-1.575180580850172318e-01,1.971844835030074400e-35
4.045444978692069377e-35,-2.273497647085197249e-01,2.220308363329952356e-35
3.772734433938877648e-35,-2.076248303139378582e-01,2.200078360144780341e-35
4.704879189807886418e-35,-1.183402590049901643e-01,2.210567978028926195e-35
4.271469986679313901e-35,2.270496784879941359e-35,-1.278283494737318393e-01
3.918684702438839868e-35,2.618084707216812828e-35,-2.114833744177680441e-01
4.981989859414808094e-35,1.956364171329635219e-35,-2.168568623829325859e-01
3.781162428840095296e-35,2.502804627938204300e-35,-1.375925263773982166e-01
4.095883367138796795e-35,1.935677648073156573e-35,4.663500633396695447e-03
4.102802275133624669e-35,1.944908641406130759e-35,1.392848696538797337e-01
4.139024072165239995e-35,1.997930047135413479e-35,2.197233378664923409e-01
4.191393034937308499e-35,2.045492629709227612e-35,2.009304536060456114e-01
4.594817216667380848e-35,2.212037706769355107e-35,1.201818444206579212e-01
1.978216080920206066e+00,-2.694653837296374869e-35,-2.280070696420498272e-35
3.972190037597370882e+00,-2.292954411739517846e-35,-2.733009705504840135e-35
5.980270195084122165e+00,-2.481789901793437303e-35,-2.131496898630425585e-35
7.990618771622908234e+00,-2.301185605632377385e-35,-2.288000562887395381e-35
1.000008462060073278e+01,-2.331023502647657650e-35,-2.334863695535079816e-35
1.201873511036410136e+01,-2.494214495334749295e-35,-2.145340115277964870e-35
